pair,mode,rr,trades,win_rate,roi,sharpe,max_dd,expectancy_R,exp_R_half1,exp_R_half2,n_half1,n_half2
BCO_USD_15m,baseline,1.0,462,47.8,-20.0,-0.82,-31.14,-0.043,-0.1,0.02,241,221
BCO_USD_15m,baseline,1.5,359,40.4,0.81,0.03,-11.92,0.01,-0.01,0.03,181,178
BCO_USD_15m,baseline,2.0,298,35.9,22.05,0.77,-9.7,0.077,0.01,0.15,149,149
BCO_USD_15m,baseline,2.5,237,33.8,48.81,1.6,-11.44,0.181,0.22,0.15,118,119
BCO_USD_15m,baseline,3.0,204,29.4,38.58,1.44,-10.57,0.176,0.15,0.2,87,117
BCO_USD_15m,baseline,3.5,188,25.5,27.66,1.1,-13.16,0.149,0.18,0.11,95,93
BCO_USD_15m,baseline,4.0,187,23.5,33.44,1.15,-12.93,0.176,0.25,0.11,88,99
BCO_USD_15m,baseline,4.5,170,20.6,20.18,0.76,-13.09,0.132,0.24,0.04,80,90
BCO_USD_15m,baseline,5.0,175,20.6,43.25,1.34,-10.73,0.234,0.31,0.18,78,97
BCO_USD_15m,baseline,5.5,166,18.1,27.05,0.93,-12.86,0.175,0.21,0.14,75,91
BCO_USD_15m,baseline,6.0,155,17.4,33.22,1.07,-11.54,0.219,0.38,0.08,71,84
BCO_USD_15m,wknd-flat,1.0,486,47.5,-16.59,-0.66,-29.54,-0.032,-0.1,0.03,241,245
BCO_USD_15m,wknd-flat,1.5,391,41.9,16.58,0.52,-10.68,0.046,0.04,0.05,190,201
BCO_USD_15m,wknd-flat,2.0,316,34.8,6.95,0.27,-21.17,0.031,-0.05,0.11,154,162
BCO_USD_15m,wknd-flat,2.5,277,34.7,47.05,1.48,-17.91,0.152,0.12,0.18,135,142
BCO_USD_15m,wknd-flat,3.0,246,31.3,32.24,1.19,-21.85,0.128,-0.05,0.29,119,127
BCO_USD_15m,wknd-flat,3.5,231,27.3,21.82,0.81,-21.09,0.102,-0.01,0.21,115,116
BCO_USD_15m,wknd-flat,4.0,214,25.2,9.48,0.4,-23.0,0.06,-0.08,0.21,112,102
BCO_USD_15m,wknd-flat,4.5,206,24.3,13.39,0.51,-19.97,0.081,0.02,0.15,109,97
BCO_USD_15m,wknd-flat,5.0,205,22.4,7.9,0.31,-22.69,0.059,-0.04,0.16,105,100
BCO_USD_15m,wknd-flat,5.5,192,23.4,18.8,0.71,-18.66,0.114,-0.03,0.26,98,94
BCO_USD_15m,wknd-flat,6.0,189,21.7,5.31,0.21,-22.64,0.052,-0.03,0.14,95,94
