strategy,tf,label,di,rr,persist,adx_min,adx_rising,di_slope,trades,win_rate,roi,sharpe,max_dd,pvt_threshold,pvt_consec
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,20.0,True,False,34,29.4,27.98,4.29,-5.85,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,1.0,15.0,False,False,51,29.4,25.42,3.18,-8.74,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,8.0,1.0,15.0,True,False,25,20.0,20.18,3.12,-6.79,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,8.0,1.0,0.0,True,False,25,20.0,20.18,3.12,-6.79,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,8.0,1.0,0.0,True,True,25,20.0,20.18,3.12,-6.79,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,15.0,True,False,35,25.7,19.46,3.08,-9.56,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),25.0,4.0,2.0,0.0,False,False,59,28.8,27.72,3.04,-7.82,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,1.0,15.0,False,False,67,34.3,26.82,2.91,-8.76,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,8.0,2.0,0.0,True,False,42,19.0,31.52,2.9,-8.65,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,20.0,False,False,40,25.0,20.49,2.9,-8.65,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,15.0,False,False,36,25.0,18.26,2.89,-8.65,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,15.0,True,True,36,22.2,20.29,2.82,-10.47,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,5.0,1.0,15.0,False,True,53,24.5,26.14,2.8,-11.36,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,0.0,True,True,37,21.6,19.09,2.63,-11.36,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,6.0,2.0,0.0,True,False,28,21.4,13.71,2.62,-9.56,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,4.0,1.0,0.0,False,False,47,27.7,18.31,2.6,-9.56,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,5.0,1.0,0.0,False,True,46,23.9,20.31,2.59,-12.25,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,4.0,2.0,20.0,False,False,40,27.5,15.02,2.56,-5.85,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),30.0,5.0,1.0,15.0,False,True,29,24.1,12.8,2.53,-7.73,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,1.0,20.0,False,False,46,23.9,20.31,2.48,-10.47,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,6.0,2.0,20.0,True,False,24,20.8,10.56,2.43,-5.85,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),35.0,6.0,1.0,20.0,False,True,43,20.9,20.05,2.41,-9.56,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,0.0,False,False,34,23.5,13.77,2.4,-9.56,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,5.0,2.0,0.0,True,False,34,23.5,13.77,2.39,-10.47,,
SmaScalping,15m,15m (2025-10-22 → 2026-03-03),25.0,3.0,2.0,15.0,False,False,77,32.5,24.15,2.39,-9.56,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),30.0,6.0,2.0,0.0,False,False,29,20.7,12.58,2.38,-9.56,,
SmaScalping,5m,5m (2026-01-14 → 2026-03-03),35.0,4.0,2.0,20.0,True,False,37,27.0,12.85,2.37,-5.85,,
