pair,cap,matched,changed,mean_dR,t_stat,ci_low,ci_high
XAU_USD,3,283,50,-0.057572224496412805,-1.2108508011594403,-0.1507641849798337,0.0356197359870081
XAU_USD,5,281,29,-0.03365988664651507,-0.9073242631873946,-0.10637190428330531,0.039052130990275165
XAU_USD,7,301,19,0.00461101027604277,0.17870638757772983,-0.045961217519188434,0.055183238071273975
XAG_USD,3,116,16,-0.009089607189852118,-0.15690066678932407,-0.12263679890467008,0.10445758452496584
XAG_USD,5,116,9,-0.02349791992442228,-0.5824004041893703,-0.10257740324993928,0.055581563401094713
XAG_USD,7,116,3,0.01314178775182963,1.5322955559624918,-0.003668222492836633,0.029951797996495895
NAS100_USD,3,257,30,-0.01820703232686785,-0.49542745880913935,-0.09023732198105662,0.05382325732732092
NAS100_USD,5,256,17,0.001882827364986434,0.05893035237350742,-0.06073925933124773,0.0645049140612206
NAS100_USD,7,261,9,-0.0003425344382197446,-0.018391359981064146,-0.0368470397930137,0.036161970916574214
BCO_USD,3,441,21,-0.002718666355189136,-0.2817907119288032,-0.021628395564138432,0.01619106285376016
BCO_USD,5,444,4,-0.0050879050626534824,-0.6466031029535162,-0.020510494093312258,0.010334683968005295
BCO_USD,7,448,2,-0.0003283969403818004,-0.09046666160177173,-0.00744326104337776,0.00678646716261416
JP225_USD,3,227,0,0.0,,0.0,0.0
JP225_USD,5,227,0,0.0,,0.0,0.0
JP225_USD,7,227,0,0.0,,0.0,0.0
EUR_USD,3,160,27,0.17788581893548075,1.8854074076102563,-0.007037717328472998,0.36280935519943447
EUR_USD,5,140,24,0.16885652665693276,1.6482312010322007,-0.03193981310433744,0.36965286641820294
EUR_USD,7,162,14,0.04402097586136312,0.6169328200757936,-0.09583398059511392,0.18387593231784014
USD_JPY,3,608,44,0.007135514609427004,0.3614687320479076,-0.03155554603983361,0.04582657525868762
USD_JPY,5,638,26,-0.010191825091347154,-0.6732702641155867,-0.039861897042736585,0.019478246860042275
USD_JPY,7,669,16,-0.00279532209541087,-0.24200517686167441,-0.025434636584690997,0.019843992393869258
UK100_GBP,3,252,43,-0.02382537388619406,-0.4496890539422687,-0.12766986911585876,0.08001912134347064
UK100_GBP,5,258,30,0.015861464763493992,0.3705687447092583,-0.06803247227331596,0.09975540180030396
UK100_GBP,7,259,21,0.047773668529704515,1.2457002267549897,-0.027394006892608548,0.12294134395201758
