rr,di,persist,adx_min,adx_rising,atr_ratio,di_slope,avoid_hours,trades,wins,win_rate,roi,sharpe,max_dd,avg_r
3.5,35,3,30,True,1.2,True,plus20,13,9,69.2,30.92,15.23,-1.0,2.378
3.5,35,3,30,False,1.2,True,plus20,13,9,69.2,30.92,15.23,-1.0,2.378
4.0,35,3,30,True,1.2,True,plus20,12,8,66.7,31.46,14.6,-1.99,2.622
4.0,35,3,30,False,1.2,True,plus20,12,8,66.7,31.46,14.6,-1.99,2.622
3.5,35,2,30,True,1.2,True,plus20,15,10,66.7,34.15,14.36,-1.99,2.276
3.5,35,2,30,False,1.2,True,plus20,15,10,66.7,34.15,14.36,-1.99,2.276
3.0,35,3,30,False,1.2,True,plus20,13,9,69.2,25.34,14.36,-1.0,1.949
3.0,35,3,30,True,1.2,True,plus20,13,9,69.2,25.34,14.36,-1.0,1.949
4.0,35,3,30,True,1.2,True,eu_open,11,7,63.6,26.41,13.37,-1.99,2.401
4.0,35,3,30,False,1.2,True,eu_open,11,7,63.6,26.41,13.37,-1.99,2.401
3.5,35,3,30,False,1.2,True,deep_prelondon,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,current,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,none,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,plus9,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,False,1.2,True,current,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,False,1.2,True,none,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,False,1.2,True,long_london,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,False,1.2,True,plus9,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,plus6,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,deep_prelondon,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,False,1.2,True,plus6,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,3,30,True,1.2,True,long_london,14,9,64.3,29.61,13.03,-1.0,2.115
3.5,35,2,30,True,1.2,True,plus6,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,True,1.2,True,long_london,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,False,1.2,True,plus6,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,False,1.2,True,long_london,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,True,1.2,True,current,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,True,1.2,True,plus9,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,False,1.2,True,plus9,16,10,62.5,32.81,12.55,-1.99,2.05
3.5,35,2,30,False,1.2,True,current,16,10,62.5,32.81,12.55,-1.99,2.05
4.0,35,3,30,True,1.2,True,long_london,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,True,1.2,True,none,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,False,1.2,True,plus6,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,True,1.2,True,deep_prelondon,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,True,1.2,True,plus9,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,False,1.2,True,deep_prelondon,13,8,61.5,30.15,12.52,-1.99,2.319
4.0,35,3,30,False,1.2,True,plus9,13,8,61.5,30.15,12.52,-1.99,2.319
