strategy,date,direction,entry,sl,tp,result,pnl,balance
SmaScalping,2026-01-14 20:40:00,SELL,25344.6,25498.6,24651.6,LOSS,-100.0,9900.0
SmaScalping,2026-01-15 09:35:00,BUY,25513.2,25473.9,25690.05,WIN,445.5,10345.5
SmaScalping,2026-01-15 14:30:00,BUY,25791.5,25759.5,25935.5,LOSS,-103.45,10242.05
SmaScalping,2026-01-16 08:00:00,SELL,25640.6,25712.4,25317.5,LOSS,-102.42,10139.62
SmaScalping,2026-01-19 10:00:00,SELL,25543.8,25635.5,25131.15,WIN,456.28,10595.91
SmaScalping,2026-01-20 09:15:00,SELL,25237.4,25280.9,25041.65,WIN,476.82,11072.72
SmaScalping,2026-01-20 10:20:00,SELL,25023.4,25066.7,24828.55,LOSS,-110.73,10962.0
SmaScalping,2026-01-21 10:25:00,SELL,25013.4,25062.7,24791.55,LOSS,-109.62,10852.38
SmaScalping,2026-01-21 14:00:00,SELL,24973.0,25021.1,24756.55,LOSS,-108.52,10743.85
SmaScalping,2026-01-21 16:40:00,BUY,25298.1,25202.5,25728.3,LOSS,-107.44,10636.41
SmaScalping,2026-01-21 18:45:00,SELL,25040.4,25151.1,24542.25,LOSS,-106.36,10530.05
SmaScalping,2026-01-28 06:15:00,BUY,25315.7,25118.0,26205.35,WIN,473.85,11003.9
SmaScalping,2026-01-28 07:00:00,BUY,26225.8,26191.1,26381.95,LOSS,-110.04,10893.86
SmaScalping,2026-01-29 04:20:00,SELL,26015.8,26119.1,25550.95,LOSS,-108.94,10784.92
SmaScalping,2026-01-29 14:40:00,SELL,26100.1,26146.3,25892.2,WIN,485.32,11270.25
SmaScalping,2026-01-29 20:55:00,SELL,25762.8,25909.1,25104.45,LOSS,-112.7,11157.54
SmaScalping,2026-01-30 02:50:00,SELL,25665.4,25708.7,25470.55,LOSS,-111.58,11045.97
SmaScalping,2026-02-03 15:20:00,BUY,25542.0,25421.9,26082.45,LOSS,-110.46,10935.51
SmaScalping,2026-02-04 15:00:00,SELL,25356.9,25418.5,25079.7,WIN,492.1,11427.61
SmaScalping,2026-02-05 21:35:00,SELL,24931.4,25055.3,24373.85,WIN,514.24,11941.85
SmaScalping,2026-02-06 20:40:00,BUY,24646.4,24554.7,25059.05,WIN,537.38,12479.23
SmaScalping,2026-02-06 21:20:00,BUY,25129.0,25041.0,25525.0,LOSS,-124.79,12354.44
SmaScalping,2026-02-09 00:50:00,BUY,25251.6,25184.1,25555.35,LOSS,-123.54,12230.9
SmaScalping,2026-02-09 13:05:00,SELL,24984.8,25045.5,24711.65,LOSS,-122.31,12108.59
SmaScalping,2026-02-09 14:35:00,SELL,24968.4,25006.5,24796.95,LOSS,-121.09,11987.5
SmaScalping,2026-02-10 20:10:00,BUY,25235.4,25179.0,25489.2,LOSS,-119.88,11867.63
SmaScalping,2026-02-11 04:25:00,BUY,25266.6,25246.3,25357.95,LOSS,-118.68,11748.95
SmaScalping,2026-02-11 06:00:00,SELL,25216.2,25236.9,25123.05,LOSS,-117.49,11631.46
SmaScalping,2026-02-11 13:30:00,SELL,25213.2,25250.1,25047.15,LOSS,-116.31,11515.14
SmaScalping,2026-02-11 14:55:00,BUY,25323.4,25252.5,25642.45,LOSS,-115.15,11399.99
SmaScalping,2026-02-11 19:20:00,SELL,25119.8,25276.6,24414.2,LOSS,-114.0,11285.99
SmaScalping,2026-02-12 14:45:00,BUY,25236.8,25183.3,25477.55,LOSS,-112.86,11173.13
SmaScalping,2026-02-13 06:30:00,SELL,25141.2,25259.7,24607.95,WIN,502.79,11675.92
SmaScalping,2026-02-17 14:55:00,SELL,24722.6,24785.2,24440.9,WIN,525.42,12201.34
SmaScalping,2026-03-02 06:50:00,BUY,24713.6,24530.5,25537.55,LOSS,-122.01,12079.33
SmaScalping,2026-03-03 08:25:00,BUY,24797.0,24570.5,25816.25,LOSS,-120.79,11958.53
SmaScalping,2026-03-03 14:30:00,SELL,24501.9,24586.3,24122.1,LOSS,-119.59,11838.95
SmaScalping,2026-03-04 12:25:00,BUY,24824.0,24705.9,25355.45,LOSS,-118.39,11720.56
SmaScalping,2026-03-05 17:50:00,BUY,24889.5,24766.2,25444.35,LOSS,-117.21,11603.35
SmaScalping,2026-03-06 13:45:00,SELL,25008.3,25084.5,24665.4,WIN,522.15,12125.51
SmaScalping,2026-03-06 15:00:00,SELL,24619.6,24745.0,24055.3,LOSS,-121.26,12004.25
SmaScalping,2026-03-06 20:40:00,SELL,24623.8,24671.288,24410.106,LOSS,-120.04,11884.21
SmaScalping,2026-03-09 05:30:00,SELL,24113.6,24180.9,23810.75,LOSS,-118.84,11765.37
SmaScalping,2026-03-09 10:00:00,BUY,24447.3,24351.1,24880.2,LOSS,-117.65,11647.71
SmaScalping,2026-03-12 13:55:00,BUY,24772.5,24618.1,25467.3,LOSS,-116.48,11531.23
SmaScalping,2026-03-12 14:45:00,SELL,24587.6,24688.3,24134.45,LOSS,-115.31,11415.92
SmaScalping,2026-03-13 00:10:00,SELL,24490.4,24539.7,24268.55,LOSS,-114.16,11301.76
SmaScalping,2026-03-13 04:30:00,BUY,24601.8,24558.4,24797.1,LOSS,-113.02,11188.75
SmaScalping,2026-03-13 09:00:00,SELL,24471.7,24529.2,24212.95,LOSS,-111.89,11076.86
PVTScalping,2025-10-28 18:00:00,BUY,25846.6,25753.035,26080.511,WIN,250.0,10250.0
PVTScalping,2025-10-29 18:00:00,BUY,26047.7,25954.444,26280.839,LOSS,-102.5,10147.5
