symbol,filters,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,trades,win_rate,roi,sharpe,max_dd
GBP_JPY,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",False,True,15.0,1.2,"[0, 1, 2, 3, 4, 5]",19,42.1,22.53,6.57,-3.94
GBP_JPY,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",False,True,20.0,1.2,"[0, 1, 2, 3, 4, 5]",19,42.1,22.53,6.57,-3.94
GBP_JPY,"adx_rising, adx_min=20, atr_ratio=1.2",False,True,20.0,1.2,,24,41.7,28.6,6.48,-3.94
GBP_JPY,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,True,20.0,1.2,"[20, 21, 22, 23]",24,41.7,28.6,6.48,-3.94
GBP_JPY,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",False,True,20.0,1.2,"[19, 20, 21, 22, 23]",24,41.7,28.6,6.48,-3.94
GBP_JPY,"adx_rising, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",False,True,0.0,1.2,"[0, 1, 2, 3, 4, 5]",20,40.0,21.31,5.98,-4.9
GBP_JPY,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[22, 23, 0, 1, 2, 3]",False,True,15.0,1.2,"[22, 23, 0, 1, 2, 3]",20,40.0,21.31,5.98,-4.9
GBP_JPY,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[22, 23, 0, 1, 2, 3]",False,True,20.0,1.2,"[22, 23, 0, 1, 2, 3]",20,40.0,21.31,5.98,-4.9
GBP_JPY,"adx_rising, adx_min=15, atr_ratio=1.2",False,True,15.0,1.2,,23,39.1,23.65,5.72,-4.9
GBP_JPY,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,True,15.0,1.2,"[20, 21, 22, 23]",23,39.1,23.65,5.72,-4.9
GBP_JPY,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",False,True,15.0,1.2,"[19, 20, 21, 22, 23]",23,39.1,23.65,5.72,-4.9
GBP_JPY,"adx_rising, adx_min=25, atr_ratio=1.2",False,True,25.0,1.2,,24,37.5,22.41,5.48,-4.9
GBP_JPY,"adx_rising, adx_min=25, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,True,25.0,1.2,"[20, 21, 22, 23]",24,37.5,22.41,5.48,-4.9
GBP_JPY,"adx_rising, adx_min=25, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",False,True,25.0,1.2,"[19, 20, 21, 22, 23]",24,37.5,22.41,5.48,-4.9
GBP_JPY,"adx_rising, atr_ratio=1.2, avoid=[22, 23, 0, 1, 2, 3]",False,True,0.0,1.2,"[22, 23, 0, 1, 2, 3]",21,38.1,20.09,5.44,-5.85
GBP_JPY,"adx_rising, atr_ratio=1.2",False,True,0.0,1.2,,24,37.5,22.41,5.26,-4.9
GBP_JPY,"adx_rising, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,True,0.0,1.2,"[20, 21, 22, 23]",24,37.5,22.41,5.26,-4.9
GBP_JPY,"adx_rising, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",False,True,0.0,1.2,"[19, 20, 21, 22, 23]",24,37.5,22.41,5.26,-4.9
GBP_JPY,"adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",False,False,20.0,1.2,"[20, 21, 22, 23]",30,36.7,27.18,5.06,-4.9
GBP_JPY,"adx_min=20, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",False,False,20.0,1.2,"[19, 20, 21, 22, 23]",30,36.7,27.18,5.06,-4.9
UK100_GBP,"di_slope, adx_min=20, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",True,False,20.0,1.2,"[15, 16, 17, 18, 19]",16,43.8,37.36,8.94,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",True,True,20.0,1.2,"[15, 16, 17, 18, 19]",16,43.8,37.36,8.94,-2.97
UK100_GBP,"adx_min=15, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",False,False,15.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",19,42.1,42.7,8.52,-2.97
UK100_GBP,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",False,True,15.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",19,42.1,42.7,8.52,-2.97
UK100_GBP,"atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",False,False,0.0,1.2,"[15, 16, 17, 18, 19]",19,42.1,42.7,8.45,-3.94
UK100_GBP,"adx_min=15, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",False,False,15.0,1.2,"[15, 16, 17, 18, 19]",19,42.1,42.7,8.45,-3.94
UK100_GBP,"adx_rising, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",False,True,0.0,1.2,"[15, 16, 17, 18, 19]",19,42.1,42.7,8.45,-3.94
UK100_GBP,"adx_rising, adx_min=15, atr_ratio=1.2, avoid=[15, 16, 17, 18, 19]",False,True,15.0,1.2,"[15, 16, 17, 18, 19]",19,42.1,42.7,8.45,-3.94
UK100_GBP,"di_slope, adx_min=20, atr_ratio=1.2",True,False,20.0,1.2,,17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",True,False,20.0,1.2,"[20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_min=20, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",True,False,20.0,1.2,"[19, 20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",True,False,20.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2",True,True,20.0,1.2,,17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",True,True,20.0,1.2,"[20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[19, 20, 21, 22, 23]",True,True,20.0,1.2,"[19, 20, 21, 22, 23]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"di_slope, adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",True,True,20.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",17,41.2,35.99,8.25,-2.97
UK100_GBP,"adx_rising, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23, 0, 1, 2]",False,True,20.0,1.2,"[20, 21, 22, 23, 0, 1, 2]",22,40.9,48.26,8.16,-3.94
