entry_date,exit_date,direction,entry_price,stop_loss,take_profit,exit_price,result,pnl,balance,bars_held,di_plus_entry,di_minus_entry,adx_entry
2026-01-16 12:55:00+00:00,2026-01-16 15:25:00+00:00,SELL,0.66998,0.67064,0.66833,0.66833,WIN,250.0,10250.0,30,11.23,35.9,33.4
2026-01-16 15:40:00+00:00,2026-01-16 16:40:00+00:00,SELL,0.66744,0.66847,0.66486,0.66847,LOSS,-102.5,10147.5,12,11.18,39.8,32.46
2026-01-18 22:05:00+00:00,2026-01-18 23:30:00+00:00,SELL,0.66715,0.66862,0.66348,0.66862,LOSS,-101.48,10046.02,17,13.79,50.91,22.0
2026-01-18 23:35:00+00:00,2026-01-19 00:05:00+00:00,BUY,0.6689,0.66808,0.67095,0.66808,LOSS,-100.46,9945.56,6,39.23,19.91,23.2
2026-01-19 05:25:00+00:00,2026-01-19 07:35:00+00:00,BUY,0.66998,0.66908,0.67223,0.66908,LOSS,-99.46,9846.11,26,42.45,6.24,52.35
2026-01-19 15:05:00+00:00,2026-01-20 04:35:00+00:00,BUY,0.67137,0.67066,0.67314,0.67314,WIN,246.15,10092.26,162,36.73,14.5,16.32
2026-01-20 04:40:00+00:00,2026-01-20 08:00:00+00:00,BUY,0.67322,0.67268,0.67457,0.67457,WIN,252.31,10344.57,40,41.32,7.79,62.42
2026-01-21 01:40:00+00:00,2026-01-21 02:30:00+00:00,BUY,0.67428,0.67364,0.67588,0.67364,LOSS,-103.45,10241.12,10,39.73,8.94,28.01
2026-01-21 06:35:00+00:00,2026-01-21 12:25:00+00:00,BUY,0.67444,0.67373,0.67622,0.67622,WIN,256.03,10497.15,70,36.94,8.24,37.07
2026-01-21 12:30:00+00:00,2026-01-21 17:30:00+00:00,BUY,0.67643,0.67557,0.67858,0.67557,LOSS,-104.97,10392.18,60,41.31,8.59,40.35
2026-01-22 00:35:00+00:00,2026-01-23 16:30:00+00:00,BUY,0.67898,0.67559,0.68746,0.68746,WIN,259.8,10651.98,479,61.53,8.3,36.88
2026-01-23 17:15:00+00:00,2026-01-23 18:05:00+00:00,BUY,0.68837,0.68776,0.6899,0.68776,LOSS,-106.52,10545.46,10,35.86,14.17,29.3
