Trade_Num,Entry_Time,Entry_Price,Direction,Stop_Loss,Take_Profit,Intended_RR,Position_Size,Exit_Time,Exit_Price,Exit_Reason,PnL,Actual_RR,Balance_After,Return_Pct,Peak,Drawdown
1,2025-12-31 17:50:00+00:00,61.495,SELL,61.80307499999999,60.57077500000001,3.0,23,2026-01-02 13:15:00+00:00,60.57077500000001,TAKE_PROFIT,20.40854399999967,3.0,380.40854399999967,5.6690399999999075,380.40854399999967,0.0
2,2026-01-02 21:50:00+00:00,61.105,BUY,60.798874999999995,62.023375,-1.0,24,2026-01-04 23:00:00+00:00,60.798874999999995,STOP_LOSS,-8.226912000000036,-1.0,372.18163199999964,3.383786666666566,380.40854399999967,-2.1626517410713135
3,2026-01-05 07:20:00+00:00,60.557,SELL,60.860385,59.646845000000006,-1.0,24,2026-01-05 09:35:00+00:00,60.860385,STOP_LOSS,-8.153260799999968,-1.0,364.0283711999997,1.1189919999999158,380.40854399999967,-4.305942402807856
4,2026-01-05 21:05:00+00:00,62.143,BUY,61.831685,63.076945,-1.0,23,2026-01-06 01:25:00+00:00,61.831685,STOP_LOSS,-8.01781840000001,-1.0,356.0105527999997,-1.1081797777778648,380.40854399999967,-6.4136286066172055
5,2026-01-06 05:10:00+00:00,61.823,SELL,62.132715,60.89385500000001,-1.0,22,2026-01-06 08:55:00+00:00,62.132715,STOP_LOSS,-7.629793599999935,-1.0,348.3807591999998,-3.2275668888889517,380.40854399999967,-8.4193126850484
6,2026-01-12 19:15:00+00:00,63.985,BUY,63.664475,64.946575,3.0,21,2026-01-13 09:20:00+00:00,64.946575,TAKE_PROFIT,19.38686399999992,3.000000000000022,367.7676231999997,2.1576731111110328,380.40854399999967,-3.3229855110720012
7,2026-01-20 19:00:00+00:00,64.859,SELL,65.183895,63.88431499999996,3.0,22,2026-01-20 20:45:00+00:00,63.88431499999996,TAKE_PROFIT,20.5869312000008,3.0,388.3545544000005,7.876265111111248,388.3545544000005,0.0
8,2026-01-28 03:10:00+00:00,67.556,BUY,67.21762,68.57114,-1.0,22,2026-01-28 07:40:00+00:00,67.21762,STOP_LOSS,-8.336099200000017,-1.0,380.01845520000046,5.560682000000128,388.3545544000005,-2.1465176873949967
9,2026-01-28 16:50:00+00:00,67.539,SELL,67.877295,66.524115,-1.0,22,2026-01-28 18:50:00+00:00,67.877295,STOP_LOSS,-8.334004800000049,-1.0,371.6844504000004,3.245680666666778,388.3545544000005,-4.292496073788821
10,2026-01-29 01:15:00+00:00,68.424,BUY,68.08128,69.45216,3.0,21,2026-01-29 09:25:00+00:00,69.45216,TAKE_PROFIT,20.729217599999995,3.0,392.41366800000037,9.00379666666677,392.41366800000037,0.0
11,2026-02-03 05:05:00+00:00,66.468,SELL,66.80094000000001,65.46917999999998,-1.0,23,2026-02-03 10:20:00+00:00,66.80094000000001,STOP_LOSS,-8.574878400000179,-1.0,383.8387896000002,6.621886000000059,392.41366800000037,-2.185163030559922
12,2026-02-04 01:20:00+00:00,68.712,BUY,68.36784,69.74448000000001,-1.0,22,2026-02-04 02:50:00+00:00,68.36784,STOP_LOSS,-8.478518400000048,-1.0,375.36027120000017,4.266742000000047,392.41366800000037,-4.345770341516285
13,2026-02-05 05:15:00+00:00,68.408,SELL,68.75064,67.38007999999999,-1.0,21,2026-02-05 07:15:00+00:00,68.75064,STOP_LOSS,-8.057380800000061,-1.0,367.30289040000014,2.028580666666705,392.41366800000037,-6.399057843214628
