symbol,timeframe,rr,current_rr,trades,win_rate,roi,sharpe,max_dd
XAU_USD,15m,1.5,5.0,88,50.0,36.89,2.94,-7.28
XAU_USD,15m,2.0,5.0,79,44.3,44.71,3.25,-7.34
XAU_USD,15m,2.5,5.0,53,39.6,33.57,3.43,-12.31
XAU_USD,15m,3.0,5.0,40,37.5,32.63,3.82,-5.87
XAU_USD,15m,3.5,5.0,29,48.3,63.17,7.96,-4.43
XAU_USD,15m,4.0,5.0,26,46.2,62.85,8.15,-10.04
XAU_USD,15m,4.5,5.0,31,35.5,51.63,5.48,-10.04
XAU_USD,15m,5.0,5.0,33,33.3,58.89,5.41,-10.04
XAG_USD,5m,1.5,12.0,106,44.3,11.27,1.29,-4.97
XAG_USD,5m,2.0,12.0,99,36.4,8.3,0.91,-8.76
XAG_USD,5m,2.5,12.0,83,38.6,32.0,3.17,-5.42
XAG_USD,5m,3.0,12.0,80,33.8,30.4,2.86,-6.96
XAG_USD,5m,3.5,12.0,74,32.4,38.14,3.37,-5.85
XAG_USD,5m,4.0,12.0,63,28.6,28.88,2.86,-7.82
XAG_USD,5m,4.5,12.0,50,26.0,22.18,2.65,-5.85
XAG_USD,5m,5.0,12.0,50,26.0,30.01,3.18,-5.85
XAG_USD,5m,5.5,12.0,45,24.4,28.05,3.11,-7.73
XAG_USD,5m,6.0,12.0,45,24.4,34.88,3.5,-7.73
XAG_USD,5m,6.5,12.0,41,24.4,37.46,3.82,-7.73
XAG_USD,5m,7.0,12.0,40,20.0,24.57,2.68,-7.73
XAG_USD,5m,7.5,12.0,42,16.7,16.71,1.87,-7.73
XAG_USD,5m,8.0,12.0,42,16.7,20.56,2.14,-7.73
XAG_USD,5m,8.5,12.0,44,18.2,33.75,2.95,-7.73
XAG_USD,5m,9.0,12.0,42,19.0,41.58,3.42,-7.73
XAG_USD,5m,9.5,12.0,39,20.5,51.36,4.1,-6.79
XAG_USD,5m,10.0,12.0,33,24.2,66.73,5.46,-6.79
XAG_USD,5m,10.5,12.0,32,25.0,74.64,5.79,-6.79
XAG_USD,5m,11.0,12.0,29,27.6,86.6,6.55,-6.79
XAG_USD,5m,11.5,12.0,27,25.9,75.24,6.17,-6.79
XAG_USD,5m,12.0,12.0,27,25.9,80.81,6.26,-6.79
JP225_USD,5m,1.5,5.0,84,52.4,28.8,3.72,-5.85
JP225_USD,5m,2.0,5.0,72,44.4,26.07,3.31,-5.85
JP225_USD,5m,2.5,5.0,64,34.4,12.88,1.73,-8.31
JP225_USD,5m,3.0,5.0,63,31.7,17.24,2.03,-7.73
JP225_USD,5m,3.5,5.0,62,32.3,30.46,3.05,-7.73
JP225_USD,5m,4.0,5.0,58,32.8,42.37,3.85,-7.73
JP225_USD,5m,4.5,5.0,58,31.0,47.74,3.98,-7.73
JP225_USD,5m,5.0,5.0,56,28.6,46.03,3.77,-7.73
NAS100_USD,15m,1.5,3.0,105,50.5,30.54,3.16,-5.5
NAS100_USD,15m,2.0,3.0,84,42.9,25.92,2.87,-6.9
NAS100_USD,15m,2.5,3.0,77,41.6,40.2,4.02,-6.79
NAS100_USD,15m,3.0,3.0,63,39.7,42.91,4.52,-5.85
UK100_GBP,15m,1.5,6.0,48,54.2,18.06,4.28,-4.44
UK100_GBP,15m,2.0,6.0,40,52.5,25.22,5.85,-3.94
UK100_GBP,15m,2.5,6.0,34,50.0,28.26,6.53,-2.97
UK100_GBP,15m,3.0,6.0,31,48.4,32.65,7.17,-2.97
UK100_GBP,15m,3.5,6.0,29,48.3,39.22,8.04,-3.94
UK100_GBP,15m,4.0,6.0,26,38.5,26.04,5.8,-3.94
