Strategy,Entry_Time,Exit_Time,Direction,PnL,Balance,Exit_Reason,PnL_Pct
DailyORB,2025-11-19 09:30:00+00:00,2025-11-19 09:35:00+00:00,BUY,-8.080662322483716,351.9193376775163,STOP_LOSS,-2.2446284229121436
SilverSniper,2025-11-26 18:00:00+00:00,2025-11-27 01:40:00+00:00,BUY,-7.881090615189088,344.03824706232723,STOP_LOSS,-2.1891918375525243
SilverMomentum,2025-11-28 14:00:00+00:00,2025-11-28 14:05:00+00:00,BUY,-7.206598774746006,336.83164828758123,STOP_LOSS,-2.0018329929850016
SilverMomentum,2025-11-26 15:00:00+00:00,2025-11-28 14:10:00+00:00,BUY,17.27215290457646,354.1038011921577,TAKE_PROFIT,4.797820251271238
SilverMomentum,2025-12-01 18:00:00+00:00,2025-12-02 00:20:00+00:00,BUY,-7.30739102570163,346.79641016645604,STOP_LOSS,-2.029830840472675
DailyORB,2025-12-02 12:45:00+00:00,2025-12-02 14:10:00+00:00,BUY,16.461325535998675,363.25773570245474,TAKE_PROFIT,4.572590426666299
SilverMomentum,2025-12-02 14:00:00+00:00,2025-12-02 15:25:00+00:00,BUY,-7.191061066248779,356.06667463620596,STOP_LOSS,-1.997516962846883
DailyORB,2025-12-02 20:30:00+00:00,2025-12-02 23:00:00+00:00,BUY,-7.7946511512687815,348.27202348493716,STOP_LOSS,-2.1651808753524393
SilverMomentum,2025-12-03 13:00:00+00:00,2025-12-03 14:05:00+00:00,BUY,-7.245115571046266,341.0269079138909,STOP_LOSS,-2.0125321030684074
SilverMomentum,2025-12-02 17:00:00+00:00,2025-12-04 08:55:00+00:00,BUY,-7.359891944094968,333.66701596979595,STOP_LOSS,-2.044414428915269
SilverSniper,2025-12-04 23:25:00+00:00,2025-12-05 02:40:00+00:00,SELL,-7.47246008619191,326.19455588360404,STOP_LOSS,-2.0756833572755307
DailyORB,2025-12-09 23:15:00+00:00,2025-12-10 06:40:00+00:00,BUY,15.389131854197577,341.5836877378016,TAKE_PROFIT,4.274758848388216
