symbol,timeframe,di_threshold,target_rr,di_persist,spread,period,trades,wins,win_rate,roi,sharpe,max_dd
XAU_USD,15m,25.0,3.0,1,0.5,2025-10-24→2026-02-26,111,28,25.2,-0.65,-0.06,-26.38
XAU_USD,15m,25.0,3.0,2,0.5,2025-10-24→2026-02-26,127,26,20.5,-21.85,-2.09,-36.19
XAU_USD,15m,25.0,5.0,1,0.5,2025-10-24→2026-02-26,88,12,13.6,-16.33,-1.74,-28.65
XAU_USD,15m,25.0,5.0,2,0.5,2025-10-24→2026-02-26,95,13,13.7,-17.29,-1.72,-30.87
XAU_USD,15m,25.0,7.0,1,0.5,2025-10-24→2026-02-26,67,12,17.9,29.58,2.03,-9.56
XAU_USD,15m,25.0,7.0,2,0.5,2025-10-24→2026-02-26,73,10,13.7,4.44,0.37,-16.61
XAU_USD,15m,25.0,10.0,1,0.5,2025-10-24→2026-02-26,61,7,11.5,13.25,1.06,-29.31
XAU_USD,15m,25.0,10.0,2,0.5,2025-10-24→2026-02-26,43,7,16.3,35.71,3.11,-16.14
XAU_USD,15m,30.0,3.0,1,0.5,2025-10-24→2026-02-26,101,23,22.8,-9.88,-1.02,-24.75
XAU_USD,15m,30.0,3.0,2,0.5,2025-10-24→2026-02-26,80,22,27.5,6.97,0.79,-16.89
XAU_USD,15m,30.0,5.0,1,0.5,2025-10-24→2026-02-26,44,11,25.0,22.76,2.97,-9.56
XAU_USD,15m,30.0,5.0,2,0.5,2025-10-24→2026-02-26,47,12,25.5,26.33,3.17,-7.86
XAU_USD,15m,30.0,7.0,1,0.5,2025-10-24→2026-02-26,52,8,15.4,10.41,1.14,-14.23
XAU_USD,15m,30.0,7.0,2,0.5,2025-10-24→2026-02-26,56,8,14.3,6.06,0.63,-16.16
XAU_USD,15m,30.0,10.0,1,0.5,2025-10-24→2026-02-26,41,6,14.6,24.62,2.4,-10.93
XAU_USD,15m,30.0,10.0,2,0.5,2025-10-24→2026-02-26,32,4,12.5,10.5,1.55,-16.55
XAU_USD,15m,35.0,3.0,1,0.5,2025-10-24→2026-02-26,68,18,26.5,3.0,0.4,-13.43
XAU_USD,15m,35.0,3.0,2,0.5,2025-10-24→2026-02-26,38,13,34.2,14.23,2.93,-4.11
XAU_USD,15m,35.0,5.0,1,0.5,2025-10-24→2026-02-26,51,11,21.6,14.42,1.78,-9.05
XAU_USD,15m,35.0,5.0,2,0.5,2025-10-24→2026-02-26,31,11,35.5,39.89,6.17,-7.73
XAU_USD,15m,35.0,7.0,1,0.5,2025-10-24→2026-02-26,30,6,20.0,17.91,2.85,-10.47
XAU_USD,15m,35.0,7.0,2,0.5,2025-10-24→2026-02-26,26,6,23.1,22.75,3.8,-5.85
XAU_USD,15m,35.0,10.0,1,0.5,2025-10-24→2026-02-26,30,5,16.7,25.27,3.13,-11.36
XAU_USD,15m,35.0,10.0,2,0.5,2025-10-24→2026-02-26,26,5,19.2,30.41,4.0,-10.47
XAU_USD,5m,35.0,5.0,1,0.5,2026-01-15→2026-02-26,42,10,23.8,18.09,2.39,-6.79
XAG_USD,15m,25.0,3.0,1,0.03,2025-04-25→2026-02-26,235,74,31.5,76.69,2.22,-14.9
XAG_USD,15m,25.0,3.0,2,0.03,2025-04-25→2026-02-26,266,69,25.9,6.15,0.22,-19.31
XAG_USD,15m,25.0,5.0,1,0.03,2025-04-25→2026-02-26,123,31,25.2,80.01,2.79,-7.73
XAG_USD,15m,25.0,5.0,2,0.03,2025-04-25→2026-02-26,136,30,22.1,48.94,1.83,-12.5
XAG_USD,15m,25.0,7.0,1,0.03,2025-04-25→2026-02-26,115,21,18.3,60.98,2.25,-20.64
XAG_USD,15m,25.0,7.0,2,0.03,2025-04-25→2026-02-26,106,21,19.8,76.22,2.82,-11.36
XAG_USD,15m,25.0,10.0,1,0.03,2025-04-25→2026-02-26,74,11,14.9,51.47,2.19,-15.3
XAG_USD,15m,25.0,10.0,2,0.03,2025-04-25→2026-02-26,116,14,12.1,36.23,1.41,-24.55
XAG_USD,15m,30.0,3.0,1,0.03,2025-04-25→2026-02-26,195,56,28.7,29.47,1.28,-14.96
XAG_USD,15m,30.0,3.0,2,0.03,2025-04-25→2026-02-26,217,64,29.5,42.48,1.44,-12.4
XAG_USD,15m,30.0,5.0,1,0.03,2025-04-25→2026-02-26,129,31,24.0,69.48,2.5,-10.6
XAG_USD,15m,30.0,5.0,2,0.03,2025-04-25→2026-02-26,116,25,21.6,35.69,1.72,-11.49
XAG_USD,15m,30.0,7.0,1,0.03,2025-04-25→2026-02-26,112,19,17.0,42.03,1.8,-15.93
XAG_USD,15m,30.0,7.0,2,0.03,2025-04-25→2026-02-26,87,16,18.4,44.62,2.26,-10.47
XAG_USD,15m,30.0,10.0,1,0.03,2025-04-25→2026-02-26,82,11,13.4,39.77,1.7,-15.71
XAG_USD,15m,30.0,10.0,2,0.03,2025-04-25→2026-02-26,73,11,15.1,53.0,2.67,-15.71
XAG_USD,15m,35.0,3.0,1,0.03,2025-04-25→2026-02-26,158,42,26.6,7.86,0.45,-13.18
XAG_USD,15m,35.0,3.0,2,0.03,2025-04-25→2026-02-26,131,34,26.0,3.06,0.22,-13.99
XAG_USD,15m,35.0,5.0,1,0.03,2025-04-25→2026-02-26,102,22,21.6,30.91,1.73,-15.71
XAG_USD,15m,35.0,5.0,2,0.03,2025-04-25→2026-02-26,77,14,18.2,5.12,0.48,-19.15
XAG_USD,15m,35.0,7.0,1,0.03,2025-04-25→2026-02-26,88,13,14.8,13.4,0.84,-14.23
XAG_USD,15m,35.0,7.0,2,0.03,2025-04-25→2026-02-26,70,14,20.0,46.87,3.07,-13.99
XAG_USD,15m,35.0,10.0,1,0.03,2025-04-25→2026-02-26,85,9,10.6,9.85,0.62,-25.67
XAG_USD,15m,35.0,10.0,2,0.03,2025-04-25→2026-02-26,79,8,10.1,5.01,0.37,-31.08
XAG_USD,5m,35.0,10.0,1,0.03,2025-11-14→2026-02-26,85,14,16.5,86.04,2.74,-10.47
