symbol,timeframe,di_threshold,rr,di_persist,spread,period,trades,wins,win_rate,roi,sharpe,max_dd
USD_JPY,5m,25.0,1.5,1,0.009,2026-01-15 → 2026-02-27,286,118,41.3,7.08,0.32,-17.2
USD_JPY,5m,25.0,1.5,2,0.009,2026-01-15 → 2026-02-27,283,118,41.7,10.36,0.46,-13.35
USD_JPY,5m,25.0,2.0,1,0.009,2026-01-15 → 2026-02-27,222,76,34.2,3.84,0.19,-11.89
USD_JPY,5m,25.0,2.0,2,0.009,2026-01-15 → 2026-02-27,199,68,34.2,3.04,0.18,-14.71
USD_JPY,5m,25.0,2.5,1,0.009,2026-01-15 → 2026-02-27,161,55,34.2,34.01,1.81,-11.44
USD_JPY,5m,25.0,2.5,2,0.009,2026-01-15 → 2026-02-27,164,51,31.1,13.16,0.76,-12.8
USD_JPY,5m,25.0,3.0,1,0.009,2026-01-15 → 2026-02-27,132,42,31.8,40.07,2.21,-8.92
USD_JPY,5m,25.0,3.0,2,0.009,2026-01-15 → 2026-02-27,151,43,28.5,20.39,1.18,-17.29
USD_JPY,5m,25.0,3.5,1,0.009,2026-01-15 → 2026-02-27,127,36,28.3,38.25,2.12,-9.07
USD_JPY,5m,25.0,3.5,2,0.009,2026-01-15 → 2026-02-27,147,36,24.5,13.07,0.79,-23.38
USD_JPY,5m,25.0,4.0,1,0.009,2026-01-15 → 2026-02-27,101,24,23.8,18.23,1.31,-12.59
USD_JPY,5m,25.0,4.0,2,0.009,2026-01-15 → 2026-02-27,116,22,19.0,-7.86,-0.65,-29.43
USD_JPY,5m,25.0,4.5,1,0.009,2026-01-15 → 2026-02-27,97,18,18.6,-0.17,-0.01,-17.07
USD_JPY,5m,25.0,4.5,2,0.009,2026-01-15 → 2026-02-27,85,17,20.0,6.7,0.59,-14.08
USD_JPY,5m,25.0,5.0,1,0.009,2026-01-15 → 2026-02-27,99,18,18.2,6.62,0.48,-18.57
USD_JPY,5m,25.0,5.0,2,0.009,2026-01-15 → 2026-02-27,87,16,18.4,6.94,0.57,-16.67
USD_JPY,5m,30.0,1.5,1,0.009,2026-01-15 → 2026-02-27,210,86,41.0,3.48,0.21,-13.87
USD_JPY,5m,30.0,1.5,2,0.009,2026-01-15 → 2026-02-27,175,79,45.1,23.54,1.55,-9.16
USD_JPY,5m,30.0,2.0,1,0.009,2026-01-15 → 2026-02-27,173,66,38.2,26.06,1.47,-9.7
USD_JPY,5m,30.0,2.0,2,0.009,2026-01-15 → 2026-02-27,142,59,41.5,39.68,2.49,-6.99
USD_JPY,5m,30.0,2.5,1,0.009,2026-01-15 → 2026-02-27,131,48,36.6,42.06,2.55,-9.15
USD_JPY,5m,30.0,2.5,2,0.009,2026-01-15 → 2026-02-27,127,40,31.5,12.0,0.86,-10.05
USD_JPY,5m,30.0,3.0,1,0.009,2026-01-15 → 2026-02-27,108,34,31.5,29.86,2.01,-8.7
USD_JPY,5m,30.0,3.0,2,0.009,2026-01-15 → 2026-02-27,99,32,32.3,31.33,2.36,-7.73
USD_JPY,5m,30.0,3.5,1,0.009,2026-01-15 → 2026-02-27,90,22,24.4,7.62,0.7,-13.13
USD_JPY,5m,30.0,3.5,2,0.009,2026-01-15 → 2026-02-27,97,26,26.8,19.83,1.53,-11.12
USD_JPY,5m,30.0,4.0,1,0.009,2026-01-15 → 2026-02-27,93,21,22.6,10.52,0.88,-19.92
USD_JPY,5m,30.0,4.0,2,0.009,2026-01-15 → 2026-02-27,95,21,22.1,8.32,0.67,-13.3
USD_JPY,5m,30.0,4.5,1,0.009,2026-01-15 → 2026-02-27,97,17,17.5,-5.42,-0.44,-14.94
USD_JPY,5m,30.0,4.5,2,0.009,2026-01-15 → 2026-02-27,77,18,23.4,22.06,1.82,-10.47
USD_JPY,5m,30.0,5.0,1,0.009,2026-01-15 → 2026-02-27,105,16,15.2,-10.76,-0.78,-17.62
USD_JPY,5m,30.0,5.0,2,0.009,2026-01-15 → 2026-02-27,75,14,18.7,7.25,0.67,-10.6
USD_JPY,5m,35.0,1.5,1,0.009,2026-01-15 → 2026-02-27,112,51,45.5,15.75,1.68,-6.38
USD_JPY,5m,35.0,1.5,2,0.009,2026-01-15 → 2026-02-27,105,42,40.0,-0.78,-0.1,-10.3
USD_JPY,5m,35.0,2.0,1,0.009,2026-01-15 → 2026-02-27,98,35,35.7,6.18,0.66,-13.2
USD_JPY,5m,35.0,2.0,2,0.009,2026-01-15 → 2026-02-27,86,32,37.2,9.52,1.19,-7.73
USD_JPY,5m,35.0,2.5,1,0.009,2026-01-15 → 2026-02-27,90,24,26.7,-6.83,-0.79,-13.28
USD_JPY,5m,35.0,2.5,2,0.009,2026-01-15 → 2026-02-27,74,21,28.4,-1.4,-0.2,-9.56
USD_JPY,5m,35.0,3.0,1,0.009,2026-01-15 → 2026-02-27,85,22,25.9,1.73,0.18,-18.31
USD_JPY,5m,35.0,3.0,2,0.009,2026-01-15 → 2026-02-27,65,17,26.2,2.03,0.28,-9.72
USD_JPY,5m,35.0,3.5,1,0.009,2026-01-15 → 2026-02-27,74,16,21.6,-3.2,-0.37,-20.3
USD_JPY,5m,35.0,3.5,2,0.009,2026-01-15 → 2026-02-27,58,11,19.0,-8.97,-1.47,-12.38
USD_JPY,5m,35.0,4.0,1,0.009,2026-01-15 → 2026-02-27,70,13,18.6,-6.11,-0.74,-19.11
USD_JPY,5m,35.0,4.0,2,0.009,2026-01-15 → 2026-02-27,49,7,14.3,-13.72,-2.83,-14.5
USD_JPY,5m,35.0,4.5,1,0.009,2026-01-15 → 2026-02-27,61,11,18.0,-1.82,-0.22,-18.72
