symbol,timeframe,di_threshold,rr,di_persist,spread,period,di_slope,adx_rising,adx_min,atr_ratio,avoid_hours,filters,trades,win_rate,roi,sharpe,max_dd
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[7, 8, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[7, 8, 21, 22, 23]",59,39.0,37.44,4.31,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[7, 8, 20, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",59,39.0,37.44,4.31,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[7, 8]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[7, 8]",60,38.3,36.07,4.1,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,"[0, 1, 2, 3, 4, 5]","di_slope, adx_min=25, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",49,36.7,24.67,3.8,-5.96
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[7, 8]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[7, 8]",55,36.4,27.05,3.74,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[7, 8, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[7, 8, 21, 22, 23]",55,36.4,27.05,3.74,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[7, 8, 20, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[7, 8, 20, 21, 22, 23]",55,36.4,27.05,3.74,-7.89
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[7, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[7, 21, 22, 23]",62,37.1,33.36,3.73,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,,"di_slope, adx_min=25, atr_ratio=1.2",50,36.0,23.42,3.57,-6.9
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,[7],"di_slope, adx_min=25, atr_ratio=1.2, avoid=[7]",50,36.0,23.42,3.57,-6.9
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,"[21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.2, avoid=[21, 22, 23]",50,36.0,23.42,3.57,-6.9
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,"[7, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.2, avoid=[7, 21, 22, 23]",50,36.0,23.42,3.57,-6.9
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.2,"[20, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.2, avoid=[20, 21, 22, 23]",50,36.0,23.42,3.57,-6.9
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,0.0,"[20, 21, 22, 23]","avoid=[20, 21, 22, 23]",106,36.8,61.51,3.54,-10.73
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[0, 1, 2, 3, 4, 5]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[0, 1, 2, 3, 4, 5]",56,35.7,25.78,3.54,-7.07
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,[7],"di_slope, adx_min=25, atr_ratio=1.0, avoid=[7]",63,36.5,32.03,3.54,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[21, 22, 23]",63,36.5,32.03,3.54,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,"[20, 21, 22, 23]","di_slope, adx_min=25, atr_ratio=1.0, avoid=[20, 21, 22, 23]",63,36.5,32.03,3.54,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,1.0,"[20, 21, 22, 23]","atr_ratio=1.0, avoid=[20, 21, 22, 23]",85,36.5,45.3,3.52,-10.63
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,0.0,"[7, 8]","di_slope, adx_min=20, avoid=[7, 8]",99,36.4,53.87,3.51,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.0,"[7, 8, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.0, avoid=[7, 8, 21, 22, 23]",77,36.4,39.82,3.51,-6.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.0,"[7, 8, 20, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.0, avoid=[7, 8, 20, 21, 22, 23]",77,36.4,39.82,3.51,-6.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.0,"[7, 8]","di_slope, adx_min=20, atr_ratio=1.0, avoid=[7, 8]",80,36.2,41.15,3.47,-6.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,0.0,"[21, 22, 23]","avoid=[21, 22, 23]",107,36.4,59.9,3.44,-10.78
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,1.0,"[21, 22, 23]","atr_ratio=1.0, avoid=[21, 22, 23]",86,36.0,43.84,3.4,-10.68
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,25.0,1.0,,"di_slope, adx_min=25, atr_ratio=1.0",64,35.9,30.71,3.35,-5.85
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,,"di_slope, adx_min=20, atr_ratio=1.2",57,35.1,24.52,3.34,-8.0
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,[7],"di_slope, adx_min=20, atr_ratio=1.2, avoid=[7]",57,35.1,24.52,3.34,-8.0
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[21, 22, 23]",57,35.1,24.52,3.34,-8.0
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[7, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[7, 21, 22, 23]",57,35.1,24.52,3.34,-8.0
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,True,False,20.0,1.2,"[20, 21, 22, 23]","di_slope, adx_min=20, atr_ratio=1.2, avoid=[20, 21, 22, 23]",57,35.1,24.52,3.34,-8.0
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,1.2,"[7, 8, 21, 22, 23]","atr_ratio=1.2, avoid=[7, 8, 21, 22, 23]",71,35.2,31.87,3.29,-8.7
NAS100_USD,15m,30.0,3.0,2,2.3,2025-10-23 to 2026-03-27,False,False,0.0,1.2,"[7, 8, 20, 21, 22, 23]","atr_ratio=1.2, avoid=[7, 8, 20, 21, 22, 23]",71,35.2,31.87,3.29,-8.7
