pair,stage,be,lock,trades,win_rate,roi,sharpe,max_dd,expectancy_R,exp_R_half1,exp_R_half2,oos_pass,months_pos,months_total
XAG_USD,baseline,,,88,39.8,64.53,4.6,-6.28,0.586,0.414,0.767,True,10,11
XAG_USD,be,0.25->-0.3,,123,19.5,30.21,2.47,-6.79,0.224,0.22,0.228,True,9,11
XAG_USD,be,0.25->-0.2,,125,17.6,30.61,2.58,-5.84,0.222,0.234,0.212,True,10,11
XAG_USD,be,0.25->-0.1,,131,16.0,35.33,2.95,-6.56,0.239,0.214,0.262,True,9,11
XAG_USD,be,0.25->0.0,,135,14.1,37.77,3.15,-4.0,0.244,0.286,0.208,True,8,11
XAG_USD,be,0.5->-0.3,,115,22.6,34.03,2.73,-7.62,0.266,0.247,0.283,True,9,11
XAG_USD,be,0.5->-0.2,,116,22.4,42.05,3.29,-7.16,0.314,0.302,0.325,True,9,11
XAG_USD,be,0.5->-0.1,,118,21.2,44.84,3.52,-6.69,0.325,0.293,0.353,True,9,11
XAG_USD,be,0.5->0.0,,120,20.8,52.73,3.98,-6.22,0.363,0.35,0.375,True,10,11
XAG_USD,be,0.75->-0.3,,110,25.5,38.22,2.94,-6.5,0.307,0.326,0.292,True,10,11
XAG_USD,be,0.75->-0.2,,112,25.0,43.01,3.24,-5.84,0.332,0.341,0.325,True,10,11
XAG_USD,be,0.75->-0.1,,113,23.9,45.25,3.43,-6.75,0.343,0.314,0.367,True,9,11
XAG_USD,be,0.75->0.0,,115,23.5,51.02,3.75,-4.96,0.371,0.358,0.381,True,10,11
XAG_USD,be,1.0->-0.3,,103,29.1,43.16,3.22,-7.79,0.364,0.416,0.314,True,10,11
XAG_USD,be,1.0->-0.2,,104,28.8,47.24,3.47,-7.69,0.387,0.448,0.33,True,10,11
XAG_USD,be,1.0->-0.1,,105,27.6,45.84,3.42,-7.32,0.374,0.39,0.358,True,10,11
XAG_USD,be,1.0->0.0,,108,27.8,53.55,3.75,-6.95,0.412,0.492,0.342,True,10,11
XAG_USD,be,1.5->-0.3,,92,33.7,50.99,3.86,-5.9,0.465,0.388,0.55,True,10,11
XAG_USD,be,1.5->-0.2,,92,33.7,53.43,4.02,-5.85,0.483,0.409,0.564,True,10,11
XAG_USD,be,1.5->-0.1,,93,32.3,49.71,3.81,-5.85,0.451,0.337,0.577,True,10,11
XAG_USD,be,1.5->0.0,,93,32.3,52.27,3.97,-5.85,0.469,0.359,0.591,True,10,11
XAG_USD,lock,,1.0->0.5,113,57.5,35.39,2.97,-5.29,0.278,0.394,0.183,True,9,11
XAG_USD,lock,,1.5->0.5,107,47.7,31.73,2.45,-7.46,0.27,0.471,0.107,True,8,11
XAG_USD,lock,,1.5->1.0,110,50.0,30.13,2.56,-8.72,0.249,0.38,0.145,True,8,11
XAG_USD,lock,,2.0->1.0,94,43.6,40.53,3.27,-8.1,0.377,0.458,0.303,True,9,11
XAG_USD,lock,,2.0->1.5,94,47.9,63.99,4.8,-7.64,0.542,0.546,0.538,True,10,11
XAG_USD,lock,,2.5->1.5,87,42.5,55.35,4.34,-6.28,0.524,0.425,0.631,True,10,11
XAG_USD,lock,,2.5->2.0,89,41.6,50.84,4.06,-6.31,0.479,0.414,0.545,True,7,11
XAG_USD,be+lock,0.25->-0.3,1.0->0.5,130,41.5,24.1,2.36,-5.78,0.172,0.176,0.169,True,8,11
XAG_USD,be+lock,0.25->-0.3,1.5->0.5,129,31.0,25.84,2.21,-5.35,0.186,0.269,0.112,True,9,11
XAG_USD,be+lock,0.25->-0.3,1.5->1.0,130,31.5,18.24,1.85,-7.85,0.135,0.187,0.088,True,8,11
XAG_USD,be+lock,0.25->-0.3,2.0->1.0,126,26.2,19.0,1.79,-6.33,0.145,0.197,0.098,True,8,11
XAG_USD,be+lock,0.25->-0.3,2.0->1.5,124,28.2,34.51,3.08,-5.57,0.247,0.246,0.248,True,9,11
XAG_USD,be+lock,0.25->-0.3,2.5->1.5,120,22.5,25.99,2.37,-7.31,0.201,0.236,0.167,True,7,11
XAG_USD,be+lock,0.25->-0.3,2.5->2.0,120,22.5,28.52,2.56,-6.86,0.217,0.253,0.184,True,7,11
XAG_USD,be+lock,0.25->-0.2,1.0->0.5,132,38.6,25.48,2.46,-5.12,0.178,0.208,0.151,True,8,11
XAG_USD,be+lock,0.25->-0.2,1.5->0.5,130,29.2,27.94,2.43,-5.05,0.197,0.269,0.133,True,9,11
XAG_USD,be+lock,0.25->-0.2,1.5->1.0,131,29.8,21.99,2.22,-7.2,0.157,0.22,0.103,True,8,11
XAG_USD,be+lock,0.25->-0.2,2.0->1.0,128,25.0,22.08,2.1,-6.49,0.163,0.2,0.129,True,9,11
XAG_USD,be+lock,0.25->-0.2,2.0->1.5,128,25.8,33.92,3.05,-5.38,0.235,0.251,0.221,True,9,11
XAG_USD,be+lock,0.25->-0.2,2.5->1.5,127,20.5,26.43,2.37,-5.84,0.192,0.244,0.147,True,8,11
XAG_USD,be+lock,0.25->-0.2,2.5->2.0,127,20.5,28.97,2.56,-5.84,0.208,0.261,0.162,True,9,11
XAG_USD,be+lock,0.25->-0.1,1.0->0.5,135,36.3,31.8,3.02,-4.26,0.21,0.242,0.182,True,8,11
XAG_USD,be+lock,0.25->-0.1,1.5->0.5,134,26.1,33.85,2.88,-3.85,0.225,0.31,0.149,True,9,11
XAG_USD,be+lock,0.25->-0.1,1.5->1.0,135,26.7,25.73,2.59,-4.75,0.175,0.262,0.099,True,8,11
XAG_USD,be+lock,0.25->-0.1,2.0->1.0,133,21.8,26.21,2.46,-4.2,0.181,0.224,0.143,True,8,11
XAG_USD,be+lock,0.25->-0.1,2.0->1.5,133,22.6,36.55,3.3,-3.47,0.241,0.266,0.217,True,9,11
XAG_USD,be+lock,0.25->-0.1,2.5->1.5,133,18.0,30.45,2.71,-6.56,0.207,0.217,0.197,True,9,11
XAG_USD,be+lock,0.25->-0.1,2.5->2.0,133,18.0,31.76,2.83,-6.56,0.214,0.217,0.211,True,8,11
XAG_USD,be+lock,0.25->0.0,1.0->0.5,137,30.7,33.34,3.22,-3.01,0.215,0.281,0.158,True,7,11
XAG_USD,be+lock,0.25->0.0,1.5->0.5,136,22.8,39.25,3.35,-2.98,0.25,0.357,0.158,True,10,11
