entry_time,exit_time,direction,entry_price,sl,tp,result,pnl,balance,timeframe,symbol,config
2025-10-28 23:45:00,2025-10-29 05:00:00,SELL,151.736,152.206,150.326,LOSS,-100.0,9900.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-29 05:15:00,2025-10-29 07:15:00,BUY,152.45,152.035,153.695,LOSS,-99.0,9801.0,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-29 13:15:00,2025-10-29 17:30:00,SELL,151.912,152.275,150.823,LOSS,-98.01,9702.99,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-30 03:00:00,2025-10-30 03:15:00,SELL,152.189,152.503,151.247,LOSS,-97.03,9605.96,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-10-30 03:30:00,2025-11-18 17:15:00,BUY,153.014,152.154,155.594,WIN,288.18,9894.14,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 08:15:00,2025-11-19 14:00:00,BUY,155.66,155.421,156.377,WIN,296.82,10190.96,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 14:15:00,2025-11-19 20:00:00,BUY,156.372,156.147,157.047,WIN,305.73,10496.69,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-19 22:00:00,2025-11-19 23:00:00,BUY,157.099,156.99732,157.40403,LOSS,-104.97,10391.73,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-20 01:45:00,2025-11-21 07:15:00,BUY,157.424,157.028,158.612,LOSS,-103.92,10287.81,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-11-21 07:30:00,2025-12-01 01:00:00,SELL,156.776,157.203,155.495,WIN,308.63,10596.44,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 10:15:00,2025-12-01 13:30:00,SELL,155.176,155.347,154.663,WIN,317.89,10914.34,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 13:45:00,2025-12-01 14:00:00,SELL,154.844,154.97965,154.43706,LOSS,-109.14,10805.19,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-01 23:45:00,2025-12-02 08:15:00,BUY,155.564,155.445,155.921,WIN,324.16,11129.35,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-02 08:30:00,2025-12-02 16:15:00,BUY,155.948,155.757,156.521,LOSS,-111.29,11018.05,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-03 00:00:00,2025-12-03 13:15:00,SELL,155.725,155.861,155.317,WIN,330.54,11348.6,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 03:00:00,2025-12-04 04:30:00,BUY,155.452,155.33,155.818,LOSS,-113.49,11235.11,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 04:45:00,2025-12-04 05:30:00,BUY,155.464,155.315,155.911,LOSS,-112.35,11122.76,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-04 05:45:00,2025-12-05 07:30:00,SELL,155.224,155.515,154.351,WIN,333.68,11456.44,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-05 11:30:00,2025-12-08 01:00:00,BUY,155.17,155.06112,155.49663,LOSS,-114.56,11341.88,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 01:15:00,2025-12-08 05:15:00,SELL,155.039,155.203,154.547,LOSS,-113.42,11228.46,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 10:45:00,2025-12-08 14:15:00,BUY,155.513,155.402,155.846,LOSS,-112.28,11116.17,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-08 14:30:00,2025-12-09 15:00:00,BUY,155.7,155.382,156.654,WIN,333.49,11449.66,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 09:45:00,2025-12-10 11:00:00,BUY,156.819,156.735,157.071,LOSS,-114.5,11335.16,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 14:00:00,2025-12-10 19:00:00,SELL,156.55,156.665,156.205,WIN,340.05,11675.22,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-10 23:15:00,2025-12-11 05:45:00,SELL,155.814,156.047,155.115,LOSS,-116.75,11558.47,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-11 12:30:00,2025-12-12 08:45:00,SELL,155.534,155.828,154.652,LOSS,-115.58,11442.88,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-15 01:45:00,2025-12-16 00:00:00,SELL,155.614,155.887,154.795,WIN,343.29,11786.17,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
2025-12-16 00:15:00,2025-12-16 00:45:00,SELL,154.944,155.071,154.563,LOSS,-117.86,11668.31,15m,USD_JPY,DI>30_RR3.0_p1_avoid15-21
