pair,scenario,trades,win_rate,roi,sharpe,max_dd,worst_R,months_pos
XAU_USD,1 naive (stops @ -1R),58,44.8,133.2,6.62,-7.28,-1.0,7/7
XAU_USD,"2 gap-priced, hold",58,44.8,131.62,6.56,-7.28,-1.45,7/7
XAU_USD,"3 gap-priced, Fri flat",130,40.0,154.79,3.8,-11.14,-1.0,8/11
XAG_USD,1 naive (stops @ -1R),48,8.3,1.12,0.1,-14.62,-1.0,3/4
XAG_USD,"2 gap-priced, hold",48,8.3,0.99,0.09,-14.72,-1.12,3/4
XAG_USD,"3 gap-priced, Fri flat",66,16.7,1.83,0.15,-14.66,-1.0,3/4
BCO_USD,1 naive (stops @ -1R),175,20.6,43.25,1.34,-10.73,-1.0,6/10
BCO_USD,"2 gap-priced, hold",175,20.6,40.47,1.26,-11.23,-2.16,5/10
BCO_USD,"3 gap-priced, Fri flat",205,22.4,7.64,0.3,-22.69,-1.24,8/11
JP225_USD,1 naive (stops @ -1R),103,47.6,20.54,2.24,-7.35,-1.0,3/4
JP225_USD,"2 gap-priced, hold",103,47.6,20.54,2.24,-7.35,-1.0,3/4
JP225_USD,"3 gap-priced, Fri flat",102,48.0,19.87,2.2,-7.35,-1.0,3/4
NAS100_USD,1 naive (stops @ -1R),47,36.2,32.75,4.36,-10.47,-1.0,7/10
NAS100_USD,"2 gap-priced, hold",47,36.2,29.08,3.8,-10.47,-2.55,7/10
NAS100_USD,"3 gap-priced, Fri flat",67,44.8,35.78,3.86,-5.85,-1.0,8/11
UK100_GBP,1 naive (stops @ -1R),37,40.5,34.3,5.5,-6.79,-1.0,7/8
UK100_GBP,"2 gap-priced, hold",37,40.5,34.3,5.5,-6.79,-1.0,7/8
UK100_GBP,"3 gap-priced, Fri flat",79,34.2,4.23,0.47,-16.62,-1.0,4/11
EUR_USD,1 naive (stops @ -1R),111,18.0,28.5,1.15,-25.14,-1.0,3/8
EUR_USD,"2 gap-priced, hold",111,18.0,27.28,1.1,-25.14,-1.94,3/8
EUR_USD,"3 gap-priced, Fri flat",210,23.3,22.87,0.57,-40.83,-1.0,5/9
USD_JPY,1 naive (stops @ -1R),184,29.3,16.46,1.38,-9.67,-1.0,5/9
USD_JPY,"2 gap-priced, hold",184,29.3,16.46,1.38,-9.67,-1.0,5/9
USD_JPY,"3 gap-priced, Fri flat",292,29.5,11.69,0.69,-11.6,-1.0,6/10
