di,atr_ratio,di_slope,adx_min,persist,avoid,rr,weekend,trades,win_rate,roi,sharpe,max_dd,expectancy_R,worst_R,exp_R_half1,exp_R_half2,oos_pass,months_pos,months_total
25.0,0.0,False,0.0,1,none,2.0,hold,472,36.9,48.6,0.86,-17.96,0.095,-4.22,0.157,0.027,False,7,11
25.0,0.0,False,0.0,1,none,2.0,flat,564,38.1,60.87,0.85,-23.46,0.094,-1.0,0.181,0.004,False,8,11
25.0,0.0,False,0.0,1,none,2.5,hold,374,32.6,59.59,1.21,-13.86,0.138,-1.9,0.185,0.081,True,8,11
25.0,0.0,False,0.0,1,none,2.5,flat,483,35.0,100.94,1.28,-15.28,0.157,-1.0,0.261,0.046,False,9,11
25.0,0.0,False,0.0,1,none,3.0,hold,327,28.1,42.27,0.89,-14.6,0.124,-1.49,0.205,0.03,False,7,11
25.0,0.0,False,0.0,1,none,3.0,flat,420,31.7,70.04,1.08,-15.72,0.141,-1.0,0.226,0.064,True,8,11
25.0,0.0,False,0.0,1,none,3.5,hold,209,27.3,54.22,1.65,-16.81,0.227,-1.0,0.237,0.213,True,8,10
25.0,0.0,False,0.0,1,none,3.5,flat,389,29.0,76.02,1.17,-19.44,0.163,-1.0,0.248,0.075,True,10,11
25.0,0.0,False,0.0,1,none,4.0,hold,235,26.0,89.72,1.91,-11.54,0.296,-1.33,0.402,0.184,True,9,10
25.0,0.0,False,0.0,1,none,4.0,flat,368,27.7,106.45,1.36,-14.28,0.217,-1.0,0.369,0.072,True,10,11
25.0,0.0,False,0.0,1,none,5.0,hold,80,21.2,21.68,1.57,-11.49,0.275,-1.0,,,False,2,4
25.0,0.0,False,0.0,1,none,5.0,flat,340,24.4,52.22,0.82,-27.05,0.147,-1.0,0.267,0.01,False,7,11
25.0,0.0,False,0.0,1,none,6.0,hold,95,18.9,31.65,1.86,-17.38,0.326,-1.0,,,False,3,4
25.0,0.0,False,0.0,1,none,6.0,flat,290,24.5,68.36,1.1,-23.99,0.208,-1.0,0.328,0.042,False,8,11
25.0,0.0,False,0.0,1,live_5m,2.0,hold,509,36.5,42.09,0.71,-19.63,0.08,-4.22,0.136,0.017,False,7,11
25.0,0.0,False,0.0,1,live_5m,2.0,flat,586,36.3,24.34,0.38,-29.6,0.047,-1.0,0.122,-0.035,False,5,11
25.0,0.0,False,0.0,1,live_5m,2.5,hold,424,32.3,62.59,1.11,-18.41,0.128,-1.9,0.153,0.094,True,7,11
25.0,0.0,False,0.0,1,live_5m,2.5,flat,520,32.5,42.03,0.64,-28.0,0.08,-1.0,0.149,0.012,False,8,11
25.0,0.0,False,0.0,1,live_5m,3.0,hold,359,29.0,64.39,1.07,-20.03,0.155,-1.9,0.253,0.035,False,6,11
25.0,0.0,False,0.0,1,live_5m,3.0,flat,453,29.6,43.49,0.69,-24.2,0.094,-1.0,0.203,0.002,False,5,11
25.0,0.0,False,0.0,1,live_5m,3.5,hold,270,27.8,85.95,1.73,-12.52,0.25,-1.0,0.27,0.22,True,9,10
25.0,0.0,False,0.0,1,live_5m,3.5,flat,411,29.2,87.72,1.16,-20.45,0.171,-1.0,0.318,0.027,False,10,11
25.0,0.0,False,0.0,1,live_5m,4.0,hold,298,25.2,96.7,1.58,-18.4,0.251,-3.0,0.353,0.121,True,8,10
25.0,0.0,False,0.0,1,live_5m,4.0,flat,403,27.5,104.26,1.3,-17.32,0.197,-1.0,0.3,0.1,True,9,11
25.0,0.0,False,0.0,1,live_5m,5.0,hold,219,19.6,38.45,0.93,-24.58,0.176,-1.33,0.297,-0.13,False,6,9
25.0,0.0,False,0.0,1,live_5m,5.0,flat,358,23.7,56.82,0.87,-24.3,0.15,-1.0,0.221,0.066,True,7,11
25.0,0.0,False,0.0,1,live_5m,6.0,hold,203,16.3,19.09,0.54,-24.55,0.119,-4.22,0.156,0.038,False,3,8
25.0,0.0,False,0.0,1,live_5m,6.0,flat,321,23.7,105.78,1.3,-19.7,0.255,-1.0,0.362,0.111,True,8,11
25.0,0.0,False,0.0,1,post_ny,2.0,hold,482,35.9,30.44,0.6,-26.38,0.066,-4.22,0.081,0.047,False,5,11
25.0,0.0,False,0.0,1,post_ny,2.0,flat,601,36.1,14.16,0.25,-36.58,0.032,-1.49,0.066,-0.006,False,6,11
25.0,0.0,False,0.0,1,post_ny,2.5,hold,392,31.6,42.76,0.96,-23.23,0.104,-1.9,0.059,0.165,True,7,11
25.0,0.0,False,0.0,1,post_ny,2.5,flat,509,32.4,37.04,0.59,-33.61,0.074,-1.0,0.124,0.018,False,7,11
25.0,0.0,False,0.0,1,post_ny,3.0,hold,348,27.6,34.98,0.75,-25.28,0.102,-1.49,0.095,0.112,True,7,11
25.0,0.0,False,0.0,1,post_ny,3.0,flat,460,28.5,8.17,0.15,-40.59,0.031,-1.0,0.088,-0.024,False,5,11
25.0,0.0,False,0.0,1,post_ny,3.5,hold,258,26.0,47.0,1.33,-20.55,0.169,-1.0,0.041,0.378,False,7,10
25.0,0.0,False,0.0,1,post_ny,3.5,flat,423,26.5,14.39,0.27,-37.94,0.048,-1.0,0.091,0.003,False,5,11
25.0,0.0,False,0.0,1,post_ny,4.0,hold,165,22.4,17.51,0.75,-15.14,0.119,-1.33,0.057,0.212,True,6,7
25.0,0.0,False,0.0,1,post_ny,4.0,flat,426,25.8,40.51,0.62,-23.78,0.099,-1.0,0.143,0.058,True,8,11
25.0,0.0,False,0.0,1,post_ny,5.0,hold,83,20.5,17.68,1.23,-15.14,0.225,-1.33,,,False,2,4
25.0,0.0,False,0.0,1,post_ny,5.0,flat,382,22.0,11.74,0.2,-40.07,0.051,-1.0,0.12,-0.031,False,6,11
25.0,0.0,False,0.0,1,post_ny,6.0,hold,95,15.8,7.25,0.47,-16.55,0.105,-1.0,,,False,2,4
25.0,0.0,False,0.0,1,post_ny,6.0,flat,322,22.4,40.59,0.7,-30.14,0.133,-1.0,0.188,0.066,True,8,11
25.0,0.0,False,0.0,1,pre_london,2.0,hold,492,36.8,49.79,0.88,-17.4,0.093,-4.22,0.128,0.057,True,7,11
25.0,0.0,False,0.0,1,pre_london,2.0,flat,557,38.8,91.79,1.25,-15.7,0.127,-1.0,0.161,0.088,True,10,11
25.0,0.0,False,0.0,1,pre_london,2.5,hold,430,33.3,89.53,1.5,-12.32,0.162,-1.39,0.116,0.208,True,7,11
25.0,0.0,False,0.0,1,pre_london,2.5,flat,488,35.5,124.29,1.58,-13.44,0.178,-1.0,0.199,0.157,True,10,11
25.0,0.0,False,0.0,1,pre_london,3.0,hold,358,29.9,86.9,1.48,-12.41,0.191,-1.9,0.216,0.163,True,9,11
25.0,0.0,False,0.0,1,pre_london,3.0,flat,416,31.7,84.08,1.29,-11.9,0.162,-1.0,0.212,0.109,True,9,11
25.0,0.0,False,0.0,1,pre_london,3.5,hold,262,27.9,82.58,1.79,-16.73,0.25,-1.9,0.339,0.166,True,8,10
25.0,0.0,False,0.0,1,pre_london,3.5,flat,401,28.2,87.66,1.32,-16.18,0.175,-1.0,0.206,0.138,True,10,11
25.0,0.0,False,0.0,1,pre_london,4.0,hold,280,25.0,88.55,1.69,-15.08,0.25,-1.07,0.265,0.228,True,9,10
25.0,0.0,False,0.0,1,pre_london,4.0,flat,384,26.8,105.99,1.42,-16.48,0.209,-1.0,0.254,0.157,True,10,11
25.0,0.0,False,0.0,1,pre_london,5.0,hold,94,27.7,79.52,3.32,-7.73,0.66,-1.0,,,False,3,4
25.0,0.0,False,0.0,1,pre_london,5.0,flat,342,24.0,83.15,1.16,-17.0,0.202,-1.0,0.285,0.096,True,9,11
25.0,0.0,False,0.0,1,pre_london,6.0,hold,104,20.2,47.62,2.33,-19.03,0.413,-1.0,,,False,3,4
25.0,0.0,False,0.0,1,pre_london,6.0,flat,298,22.8,73.32,1.05,-24.54,0.213,-1.0,0.354,0.019,False,6,11
25.0,0.0,False,0.0,2,none,2.0,hold,446,34.8,11.02,0.25,-20.86,0.034,-4.22,0.079,-0.017,False,5,11
25.0,0.0,False,0.0,2,none,2.0,flat,516,37.0,33.2,0.62,-16.8,0.065,-1.0,0.11,0.013,False,7,11
25.0,0.0,False,0.0,2,none,2.5,hold,358,32.4,52.95,1.12,-10.95,0.132,-1.39,0.187,0.057,True,8,11
25.0,0.0,False,0.0,2,none,2.5,flat,435,34.7,74.22,1.23,-12.95,0.14,-1.0,0.185,0.087,True,9,11
25.0,0.0,False,0.0,2,none,3.0,hold,286,29.7,61.33,1.4,-18.5,0.184,-1.9,0.197,0.167,True,8,11
25.0,0.0,False,0.0,2,none,3.0,flat,386,32.1,73.64,1.21,-12.68,0.158,-1.49,0.251,0.077,True,10,11
25.0,0.0,False,0.0,2,none,3.5,hold,199,27.6,54.61,1.7,-13.63,0.239,-1.9,0.327,0.111,True,9,10
25.0,0.0,False,0.0,2,none,3.5,flat,361,28.5,66.93,1.09,-18.78,0.159,-1.49,0.326,-0.012,False,8,11
25.0,0.0,False,0.0,2,none,4.0,hold,134,26.9,53.27,2.21,-8.74,0.343,-1.0,0.4,0.271,True,7,7
25.0,0.0,False,0.0,2,none,4.0,flat,343,26.5,63.28,1.08,-17.14,0.163,-1.49,0.308,0.037,False,7,11
25.0,0.0,False,0.0,2,none,5.0,hold,88,20.5,19.09,1.32,-11.36,0.227,-1.0,,,False,4,4
25.0,0.0,False,0.0,2,none,5.0,flat,313,24.0,57.31,1.08,-21.09,0.169,-1.49,0.186,0.153,True,7,11
25.0,0.0,False,0.0,2,none,6.0,hold,87,19.5,33.25,2.0,-11.36,0.368,-1.0,,,False,4,4
25.0,0.0,False,0.0,2,none,6.0,flat,289,22.8,49.15,0.92,-21.05,0.166,-1.49,0.239,0.085,True,6,11
25.0,0.0,False,0.0,2,live_5m,2.0,hold,504,33.7,-4.98,-0.12,-19.58,0.0,-4.22,-0.005,0.007,False,6,11
25.0,0.0,False,0.0,2,live_5m,2.0,flat,551,35.8,13.8,0.27,-16.09,0.033,-1.0,0.04,0.025,False,7,11
25.0,0.0,False,0.0,2,live_5m,2.5,hold,402,31.8,49.13,0.96,-10.85,0.113,-1.39,0.145,0.065,True,9,11
25.0,0.0,False,0.0,2,live_5m,2.5,flat,465,33.3,54.16,0.92,-14.36,0.105,-1.0,0.145,0.06,True,9,11
25.0,0.0,False,0.0,2,live_5m,3.0,hold,317,29.3,60.71,1.27,-13.28,0.166,-1.9,0.144,0.198,True,9,11
25.0,0.0,False,0.0,2,live_5m,3.0,flat,438,30.1,55.51,0.89,-18.4,0.116,-1.49,0.153,0.081,True,7,11
25.0,0.0,False,0.0,2,live_5m,3.5,hold,284,24.3,22.6,0.59,-12.38,0.09,-1.9,0.083,0.103,True,7,10
