di_threshold,di_persist,adx_min,adx_rising,atr_ratio_min,di_slope,di_spread_min,body_ratio_min,avoid,sma_ordered,rsi_filter,target_rr,fit_trades,fit_win_rate,fit_exp_R,fit_total_R,fit_roi_pct,fit_cagr_pct,fit_max_dd_pct,fit_cagr_dd,fit_sharpe_daily,fit_pf,fit_streak,fit_h1_R,fit_h2_R,fit_worst_R,oos_trades,oos_win_rate,oos_exp_R,oos_total_R,oos_roi_pct,oos_cagr_pct,oos_max_dd_pct,oos_cagr_dd,oos_sharpe_daily,oos_pf,oos_streak,oos_h1_R,oos_h2_R,oos_worst_R,all_trades,all_win_rate,all_exp_R,all_total_R,all_roi_pct,all_cagr_pct,all_max_dd_pct,all_cagr_dd,all_sharpe_daily,all_pf,all_streak,all_h1_R,all_h2_R,all_worst_R
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,False,2.5,403,27.3,-0.0442,-17.8,-20.3,-9.47,-33.37,-0.28,-0.38,0.94,11,-0.0955,0.0068,-1.11,130,28.5,-0.0149,-1.9,-3.51,-5.1,-17.79,-0.29,-0.13,0.98,13,-0.1607,0.1308,-1.89,533,27.6,-0.0371,-19.8,-23.09,-8.48,-33.37,-0.25,-0.32,0.95,13,-0.0257,-0.0485,-1.89
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,False,3.0,310,22.3,-0.1103,-34.2,-31.93,-15.52,-40.47,-0.38,-0.76,0.86,18,-0.0723,-0.1484,-1.11,125,28.0,0.1085,13.6,12.23,18.44,-13.59,1.36,0.8,1.15,13,0.009,0.2063,-1.89,435,23.9,-0.0475,-20.6,-23.6,-8.69,-40.47,-0.21,-0.33,0.94,18,-0.1714,0.0759,-1.89
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,False,3.5,285,20.7,-0.0691,-19.7,-21.63,-10.14,-36.07,-0.28,-0.43,0.91,18,-0.0507,-0.0874,-1.11,107,27.1,0.2047,21.9,21.84,33.6,-13.03,2.58,1.24,1.28,13,0.1585,0.25,-1.89,392,22.4,0.0056,2.2,-4.52,-1.55,-36.07,-0.04,0.03,1.01,18,-0.1056,0.1168,-1.89
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,True,2.5,435,28.5,-0.0019,-0.8,-6.02,-2.69,-25.89,-0.1,-0.02,1.0,10,-0.0332,0.0293,-1.11,145,27.6,-0.0407,-5.9,-7.38,-10.64,-18.93,-0.56,-0.38,0.94,14,-0.1374,0.0548,-1.9,580,28.3,-0.0116,-6.7,-12.96,-4.58,-26.34,-0.17,-0.11,0.98,14,-0.0218,-0.0014,-1.9
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,True,3.0,365,24.7,-0.0142,-5.2,-10.02,-4.52,-26.55,-0.17,-0.11,0.98,14,0.0319,-0.0601,-1.11,140,27.9,0.1079,15.1,13.73,20.76,-16.12,1.29,0.82,1.15,14,0.0158,0.2,-1.9,505,25.5,0.0196,9.9,2.33,0.78,-26.62,0.03,0.14,1.03,14,-0.0325,0.0716,-1.9
30.0,1,20.0,False,1.2,False,0.0,0.0,none,False,True,3.5,320,22.5,0.0119,3.8,-1.75,-0.77,-21.59,-0.04,0.07,1.02,14,-0.0169,0.0406,-1.11,128,25.8,0.1532,19.6,18.69,28.58,-13.13,2.18,1.01,1.2,14,0.0407,0.2656,-1.9,448,23.4,0.0522,23.4,16.62,5.33,-21.59,0.25,0.33,1.07,14,-0.0165,0.121,-1.9
30.0,1,20.0,False,1.2,False,0.0,0.0,none,True,False,2.5,315,29.2,0.0219,6.9,2.98,1.3,-24.21,0.05,0.16,1.03,11,0.0694,-0.0253,-1.11,107,31.8,0.1069,11.4,10.54,15.84,-13.02,1.22,0.81,1.16,10,-0.02,0.2315,-1.39,422,29.9,0.0434,18.3,13.84,4.47,-24.21,0.18,0.32,1.06,11,0.0279,0.059,-1.39
30.0,1,20.0,False,1.2,False,0.0,0.0,none,True,False,3.0,270,26.7,0.0667,18.0,14.83,6.25,-25.46,0.25,0.4,1.09,14,0.1852,-0.0519,-1.0,98,28.6,0.1372,13.4,12.58,18.98,-12.6,1.51,0.91,1.19,10,0.1315,0.1429,-1.39,368,27.2,0.0854,31.4,29.27,9.05,-25.46,0.36,0.52,1.12,14,0.0217,0.1491,-1.39
30.0,1,20.0,False,1.2,False,0.0,0.0,none,True,False,3.5,252,24.2,0.0888,22.4,19.45,8.11,-23.5,0.34,0.48,1.12,12,0.2134,-0.0357,-1.11,96,26.0,0.1661,15.9,15.12,22.94,-13.04,1.76,1.01,1.22,12,0.1134,0.2187,-1.39,348,24.7,0.1101,38.3,37.51,11.35,-23.5,0.48,0.62,1.15,12,0.0597,0.1606,-1.39
30.0,1,20.0,False,1.2,False,0.0,0.0,none,True,True,2.5,345,28.7,0.004,1.4,-2.85,-1.26,-31.24,-0.04,0.03,1.01,15,0.0982,-0.0896,-1.11,115,33.0,0.1487,17.1,16.81,25.59,-11.18,2.29,1.12,1.22,11,0.2124,0.0862,-1.9,460,29.8,0.0402,18.5,13.47,4.36,-31.24,0.14,0.31,1.06,15,0.0191,0.0613,-1.9
