param,value,vs_baseline,paired_cells,pct_better_expR,pct_better_roi,pct_better_dd,median_dExpR
di_threshold,25.0,35.0,51840,33.2,42.8,22.8,-0.0423
di_threshold,30.0,35.0,51840,29.3,35.5,24.6,-0.0487
di_threshold,40.0,35.0,51840,45.7,36.3,72.4,-0.0121
di_persist,1,2,69120,46.9,50.0,39.2,-0.0047
di_persist,3,2,69120,65.0,60.5,62.1,0.0297
adx_min,15.0,0.0,51840,40.4,40.5,36.5,0.0
adx_min,20.0,0.0,51840,38.8,38.7,39.9,-0.0114
adx_min,25.0,0.0,51840,52.6,51.3,46.9,0.0046
adx_rising,True,False,103680,34.5,33.7,37.7,-0.0124
atr_ratio_min,0.0,1.2,69120,58.7,69.1,38.0,0.0226
atr_ratio_min,1.0,1.2,69120,40.8,44.6,41.2,-0.0198
di_slope,False,True,103680,28.3,31.2,29.2,-0.0322
di_spread_min,10.0,0.0,69120,22.0,22.0,19.1,0.0
di_spread_min,20.0,0.0,69120,39.9,38.6,46.2,0.0
body_ratio_min,0.3,0.0,103680,61.7,57.9,67.2,0.023
sma_ordered,True,False,103680,84.2,82.0,82.2,0.0762
avoid,asia,none,41472,46.4,41.8,67.4,-0.005
avoid,london_open,none,41472,52.4,50.7,64.7,0.0032
avoid,ny_pm,none,41472,45.1,43.4,63.1,-0.0074
avoid,post_ny,none,41472,56.0,55.4,60.1,0.0037
target_rr,2.0,3.0,34560,66.6,70.8,78.3,0.0296
target_rr,2.5,3.0,34560,57.1,59.2,69.0,0.0103
target_rr,3.5,3.0,34560,56.6,55.2,49.5,0.0109
target_rr,4.0,3.0,34560,65.8,62.9,50.1,0.0336
target_rr,5.0,3.0,34560,72.2,67.0,49.7,0.0642
