section,trades,win_rate,exp_R,total_R,config
2023-H2,37,21.6,-0.1351,-5.0,INCUMBENT
2024-H1,34,29.4,0.1765,6.0,INCUMBENT
2024-H2,45,24.4,-0.043,-1.9,INCUMBENT
2025-H1,33,15.2,-0.3939,-13.0,INCUMBENT
2025-H2,55,29.1,0.1636,9.0,INCUMBENT
2026-H1,51,43.1,0.7179,36.6,INCUMBENT
2026-H2,21,28.6,0.1429,3.0,INCUMBENT
2023-H2,24,29.2,0.1667,4.0,D_sma_ordered_only
2024-H1,36,36.1,0.4444,16.0,D_sma_ordered_only
2024-H2,32,31.2,0.25,8.0,D_sma_ordered_only
2025-H1,26,19.2,-0.2308,-6.0,D_sma_ordered_only
2025-H2,41,26.8,0.0732,3.0,D_sma_ordered_only
2026-H1,43,37.2,0.4754,20.4,D_sma_ordered_only
2026-H2,16,18.8,-0.25,-4.0,D_sma_ordered_only
2023-H2,17,29.4,0.1765,3.0,CANDIDATE_rr3.0
2024-H1,28,46.4,0.8571,24.0,CANDIDATE_rr3.0
2024-H2,32,28.1,0.125,4.0,CANDIDATE_rr3.0
2025-H1,29,17.2,-0.3103,-9.0,CANDIDATE_rr3.0
2025-H2,38,42.1,0.6842,26.0,CANDIDATE_rr3.0
2026-H1,41,39.0,0.5623,23.1,CANDIDATE_rr3.0
2026-H2,18,22.2,-0.1111,-2.0,CANDIDATE_rr3.0
2023-H2,21,33.3,0.1667,3.5,CANDIDATE_rr2.5
2024-H1,31,51.6,0.8065,25.0,CANDIDATE_rr2.5
2024-H2,29,34.5,0.2085,6.0,CANDIDATE_rr2.5
2025-H1,29,27.6,-0.0345,-1.0,CANDIDATE_rr2.5
2025-H2,41,41.5,0.4512,18.5,CANDIDATE_rr2.5
2026-H1,43,39.5,0.3966,17.1,CANDIDATE_rr2.5
2026-H2,20,20.0,-0.3,-6.0,CANDIDATE_rr2.5
2023-H2,17,41.2,1.0588,18.0,CANDIDATE_rr4.0
2024-H1,25,44.0,1.2,30.0,CANDIDATE_rr4.0
2024-H2,26,26.9,0.3462,9.0,CANDIDATE_rr4.0
2025-H1,24,16.7,-0.1667,-4.0,CANDIDATE_rr4.0
2025-H2,38,36.8,0.8421,32.0,CANDIDATE_rr4.0
2026-H1,34,35.3,0.7647,26.0,CANDIDATE_rr4.0
2026-H2,17,17.6,-0.1176,-2.0,CANDIDATE_rr4.0
2023-H2,13,30.8,0.8462,11.0,CANDIDATE_rr5.0
2024-H1,20,45.0,1.7,34.0,CANDIDATE_rr5.0
2024-H2,16,18.8,0.125,2.0,CANDIDATE_rr5.0
2025-H1,19,15.8,-0.0526,-1.0,CANDIDATE_rr5.0
2025-H2,35,25.7,0.5429,19.0,CANDIDATE_rr5.0
2026-H1,31,22.6,0.3435,10.6,CANDIDATE_rr5.0
2026-H2,18,16.7,0.0,0.0,CANDIDATE_rr5.0
