year,trades,win_rate,exp_R,total_R,config
2023,37,21.6,-0.1351,-5.0,INCUMBENT
2024,79,26.6,0.0515,4.1,INCUMBENT
2025,88,23.9,-0.0455,-4.0,INCUMBENT
2026,72,38.9,0.5502,39.6,INCUMBENT
2023,24,29.2,0.1667,4.0,D_sma_ordered_only
2024,68,33.8,0.3529,24.0,D_sma_ordered_only
2025,67,23.9,-0.0448,-3.0,D_sma_ordered_only
2026,59,32.2,0.2787,16.4,D_sma_ordered_only
2023,17,29.4,0.1765,3.0,CANDIDATE_rr3.0
2024,60,36.7,0.4667,28.0,CANDIDATE_rr3.0
2025,67,31.3,0.2537,17.0,CANDIDATE_rr3.0
2026,59,33.9,0.3568,21.1,CANDIDATE_rr3.0
2023,21,33.3,0.1667,3.5,CANDIDATE_rr2.5
2024,60,43.3,0.5174,31.0,CANDIDATE_rr2.5
2025,70,35.7,0.25,17.5,CANDIDATE_rr2.5
2026,63,33.3,0.1754,11.1,CANDIDATE_rr2.5
2023,17,41.2,1.0588,18.0,CANDIDATE_rr4.0
2024,51,35.3,0.7647,39.0,CANDIDATE_rr4.0
2025,62,29.0,0.4516,28.0,CANDIDATE_rr4.0
2026,51,29.4,0.4706,24.0,CANDIDATE_rr4.0
2023,13,30.8,0.8462,11.0,CANDIDATE_rr5.0
2024,36,33.3,1.0,36.0,CANDIDATE_rr5.0
2025,54,22.2,0.3333,18.0,CANDIDATE_rr5.0
2026,49,20.4,0.2173,10.6,CANDIDATE_rr5.0
