Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2025-10-29 04:00:00+00:00,26223.0,26229.75,26221.0,26229.25,419
2025-10-29 04:15:00+00:00,26237.75,26242.0,26222.75,26222.75,730
2025-10-29 04:30:00+00:00,26246.0,26247.5,26237.0,26237.5,594
2025-10-29 04:45:00+00:00,26246.25,26249.5,26244.25,26245.25,605
2025-10-29 05:00:00+00:00,26249.5,26254.5,26245.0,26245.5,836
2025-10-29 05:15:00+00:00,26257.5,26259.75,26247.75,26249.75,651
2025-10-29 05:30:00+00:00,26259.25,26262.5,26250.0,26257.5,924
2025-10-29 05:45:00+00:00,26261.0,26263.75,26251.5,26259.25,563
2025-10-29 06:00:00+00:00,26271.5,26273.75,26256.75,26261.25,931
2025-10-29 06:15:00+00:00,26286.5,26289.75,26267.25,26270.75,1871
2025-10-29 06:30:00+00:00,26276.25,26290.75,26273.5,26284.25,1172
2025-10-29 06:45:00+00:00,26281.0,26281.0,26274.0,26275.75,472
2025-10-29 07:00:00+00:00,26280.75,26284.0,26267.0,26281.25,1503
2025-10-29 07:15:00+00:00,26276.75,26284.75,26261.0,26281.0,937
2025-10-29 07:30:00+00:00,26294.0,26299.0,26273.25,26276.0,1354
2025-10-29 07:45:00+00:00,26292.75,26297.25,26281.25,26293.5,1235
2025-10-29 08:00:00+00:00,26293.25,26306.25,26287.25,26291.75,1873
2025-10-29 08:15:00+00:00,26289.75,26301.75,26284.25,26294.5,2180
2025-10-29 08:30:00+00:00,26275.0,26300.0,26267.0,26289.0,2022
2025-10-29 08:45:00+00:00,26269.75,26282.25,26260.25,26275.0,1521
2025-10-29 09:00:00+00:00,26241.75,26271.25,26235.25,26268.75,2566
2025-10-29 09:15:00+00:00,26237.0,26256.0,26232.5,26241.5,1967
2025-10-29 09:30:00+00:00,26234.75,26242.0,26229.75,26237.25,1987
2025-10-29 09:45:00+00:00,26237.75,26241.0,26226.5,26234.25,1783
2025-10-29 10:00:00+00:00,26248.0,26252.25,26230.25,26237.0,2320
2025-10-29 10:15:00+00:00,26260.25,26264.25,26242.5,26248.0,1626
2025-10-29 10:30:00+00:00,26252.0,26261.25,26246.5,26260.5,1731
2025-10-29 10:45:00+00:00,26250.25,26273.25,26249.5,26251.5,1518
2025-10-29 11:00:00+00:00,26274.25,26275.0,26245.5,26249.5,1646
2025-10-29 11:15:00+00:00,26288.75,26291.25,26266.25,26274.0,1949
2025-10-29 11:30:00+00:00,26289.75,26296.75,26280.75,26288.25,1646
2025-10-29 11:45:00+00:00,26275.5,26291.0,26271.0,26290.5,1256
2025-10-29 12:00:00+00:00,26282.0,26284.25,26271.25,26274.75,1666
2025-10-29 12:15:00+00:00,26264.25,26288.0,26261.5,26281.0,1634
2025-10-29 12:30:00+00:00,26247.5,26267.25,26244.0,26264.25,2367
2025-10-29 12:45:00+00:00,26260.25,26272.5,26247.25,26247.75,3031
2025-10-29 13:00:00+00:00,26269.75,26276.0,26258.75,26260.75,2837
2025-10-29 13:15:00+00:00,26265.75,26275.5,26258.0,26269.75,6221
2025-10-29 13:30:00+00:00,26276.0,26292.75,26254.75,26266.0,33069
2025-10-29 13:45:00+00:00,26318.75,26319.5,26265.0,26276.25,26040
2025-10-29 14:00:00+00:00,26285.75,26326.5,26265.25,26319.5,21079
2025-10-29 14:15:00+00:00,26298.0,26300.25,26276.25,26285.75,12683
2025-10-29 14:30:00+00:00,26277.25,26308.5,26271.75,26297.75,12655
2025-10-29 14:45:00+00:00,26259.5,26289.5,26243.5,26278.0,18991
2025-10-29 15:00:00+00:00,26255.0,26278.0,26238.25,26260.25,14391
2025-10-29 15:15:00+00:00,26253.25,26276.5,26238.0,26254.75,12072
2025-10-29 15:30:00+00:00,26233.25,26259.0,26229.5,26253.25,14239
2025-10-29 15:45:00+00:00,26237.75,26249.5,26218.5,26233.0,13454
2025-10-29 16:00:00+00:00,26224.25,26241.0,26203.5,26237.75,16095
2025-10-29 16:15:00+00:00,26249.25,26256.0,26221.25,26224.25,10074
2025-10-29 16:30:00+00:00,26254.25,26259.25,26240.0,26249.25,6508
2025-10-29 16:45:00+00:00,26254.25,26266.5,26240.5,26254.75,8718
2025-10-29 17:00:00+00:00,26259.75,26266.0,26251.75,26254.0,4590
2025-10-29 17:15:00+00:00,26229.25,26268.25,26219.0,26260.25,7359
2025-10-29 17:30:00+00:00,26255.75,26257.75,26223.0,26229.5,5461
2025-10-29 17:45:00+00:00,26254.0,26266.75,26241.25,26255.5,4496
2025-10-29 18:00:00+00:00,26224.25,26290.0,26205.0,26255.0,14952
2025-10-29 18:15:00+00:00,26248.0,26257.0,26212.75,26224.75,9356
2025-10-29 18:30:00+00:00,26070.0,26283.5,26049.25,26248.25,41020
2025-10-29 18:45:00+00:00,26184.75,26227.25,26061.25,26070.25,30765
2025-10-29 19:00:00+00:00,26194.5,26223.75,26111.75,26185.25,22636
2025-10-29 19:15:00+00:00,26192.5,26241.25,26153.25,26196.0,16512
2025-10-29 19:30:00+00:00,26196.0,26219.5,26149.75,26193.25,17517
2025-10-29 19:45:00+00:00,26280.0,26287.5,26192.5,26196.25,25327
2025-10-29 20:00:00+00:00,26231.0,26379.75,26159.75,26280.25,27204
2025-10-29 20:15:00+00:00,26249.5,26266.25,26182.5,26229.25,5820
