Price,Close,High,Low,Open,Volume
Ticker,ZC=F,ZC=F,ZC=F,ZC=F,ZC=F
Datetime,,,,,
2025-10-29 04:00:00+00:00,431.0,431.25,431.0,431.25,13
2025-10-29 04:15:00+00:00,431.25,431.5,431.0,431.0,79
2025-10-29 04:30:00+00:00,431.25,431.25,431.0,431.25,94
2025-10-29 04:45:00+00:00,431.0,431.25,431.0,431.25,5
2025-10-29 05:00:00+00:00,431.0,431.0,431.0,431.0,63
2025-10-29 05:15:00+00:00,431.0,431.25,430.75,431.0,108
2025-10-29 05:30:00+00:00,431.0,431.0,431.0,431.0,199
2025-10-29 05:45:00+00:00,430.5,430.75,430.5,430.75,107
2025-10-29 06:00:00+00:00,430.75,431.0,430.75,430.75,144
2025-10-29 06:15:00+00:00,431.5,431.5,431.0,431.0,172
2025-10-29 06:30:00+00:00,431.25,431.5,431.25,431.5,200
2025-10-29 06:45:00+00:00,431.75,431.75,431.25,431.5,212
2025-10-29 07:00:00+00:00,431.0,431.75,430.75,431.5,556
2025-10-29 07:15:00+00:00,431.25,431.25,431.25,431.25,181
2025-10-29 07:30:00+00:00,431.0,431.25,431.0,431.0,349
2025-10-29 07:45:00+00:00,430.75,431.5,430.75,431.0,253
2025-10-29 08:00:00+00:00,431.0,431.25,430.5,431.0,1490
2025-10-29 08:15:00+00:00,430.75,431.0,430.25,431.0,770
2025-10-29 08:30:00+00:00,430.75,431.0,430.5,430.75,453
2025-10-29 08:45:00+00:00,430.75,431.25,430.75,430.75,556
2025-10-29 09:00:00+00:00,431.0,431.25,430.5,430.75,1156
2025-10-29 09:15:00+00:00,431.25,431.5,430.75,431.0,941
2025-10-29 09:30:00+00:00,432.5,432.5,431.25,431.25,1124
2025-10-29 09:45:00+00:00,432.25,433.0,432.0,432.5,878
2025-10-29 10:00:00+00:00,431.75,432.5,431.75,432.25,558
2025-10-29 10:15:00+00:00,431.0,432.0,431.0,432.0,306
2025-10-29 10:30:00+00:00,431.25,431.25,430.75,431.0,353
2025-10-29 10:45:00+00:00,430.75,431.25,430.75,431.25,262
2025-10-29 11:00:00+00:00,431.25,431.5,430.5,430.75,809
2025-10-29 11:15:00+00:00,432.0,432.25,431.0,431.25,956
2025-10-29 11:30:00+00:00,431.5,431.75,431.0,431.75,779
2025-10-29 11:45:00+00:00,431.25,431.5,431.0,431.5,3220
2025-10-29 12:00:00+00:00,431.25,432.0,431.0,431.25,1479
