Price,Close,High,Low,Open,Volume
Ticker,ZW=F,ZW=F,ZW=F,ZW=F,ZW=F
Datetime,,,,,
2025-10-29 04:00:00+00:00,530.25,530.25,530.0,530.0,11
2025-10-29 04:15:00+00:00,530.75,530.75,530.25,530.25,40
2025-10-29 04:30:00+00:00,530.75,530.75,530.0,530.5,78
2025-10-29 04:45:00+00:00,530.5,530.75,530.5,530.75,30
2025-10-29 05:00:00+00:00,530.0,530.25,530.0,530.25,29
2025-10-29 05:15:00+00:00,530.25,530.25,529.75,529.75,45
2025-10-29 05:30:00+00:00,529.75,530.25,529.5,530.0,87
2025-10-29 05:45:00+00:00,529.0,529.75,529.0,529.75,114
2025-10-29 06:00:00+00:00,529.0,529.5,529.0,529.0,129
2025-10-29 06:15:00+00:00,530.25,530.5,529.25,529.25,171
2025-10-29 06:30:00+00:00,530.75,530.75,530.0,530.25,316
2025-10-29 06:45:00+00:00,531.0,531.75,530.5,530.5,528
2025-10-29 07:00:00+00:00,530.5,531.0,529.5,531.0,354
2025-10-29 07:15:00+00:00,529.5,530.5,529.5,530.25,81
2025-10-29 07:30:00+00:00,529.0,530.0,529.0,529.5,178
2025-10-29 07:45:00+00:00,529.5,529.5,529.0,529.0,440
2025-10-29 08:00:00+00:00,527.75,529.25,527.75,529.25,530
2025-10-29 08:15:00+00:00,528.0,528.0,527.5,528.0,152
2025-10-29 08:30:00+00:00,527.75,528.0,527.25,528.0,202
2025-10-29 08:45:00+00:00,527.5,528.25,527.25,527.75,308
2025-10-29 09:00:00+00:00,529.25,529.25,527.25,527.5,377
2025-10-29 09:15:00+00:00,529.25,529.5,528.25,529.5,234
2025-10-29 09:30:00+00:00,531.0,531.0,530.75,530.75,208
2025-10-29 09:45:00+00:00,530.5,532.0,530.0,530.75,1305
2025-10-29 10:00:00+00:00,529.5,530.5,529.5,530.25,148
2025-10-29 10:15:00+00:00,527.5,529.25,527.25,529.25,389
2025-10-29 10:30:00+00:00,527.75,528.0,527.0,527.5,281
2025-10-29 10:45:00+00:00,527.5,528.0,527.5,527.75,112
2025-10-29 11:00:00+00:00,527.25,528.0,527.0,527.5,250
2025-10-29 11:15:00+00:00,527.5,527.75,526.75,527.5,850
2025-10-29 11:30:00+00:00,527.75,528.0,526.75,527.25,366
2025-10-29 11:45:00+00:00,528.0,528.25,527.5,527.75,252
2025-10-29 12:00:00+00:00,527.5,528.5,527.5,528.0,441
2025-10-29 12:15:00+00:00,527.5,528.0,527.0,527.5,361
2025-10-29 12:30:00+00:00,527.5,528.5,527.0,527.5,373
2025-10-29 13:30:00+00:00,530.75,531.0,527.5,527.5,10486
2025-10-29 13:45:00+00:00,531.75,532.5,531.0,531.0,5250
2025-10-29 14:00:00+00:00,531.25,532.5,530.5,532.0,4930
2025-10-29 14:15:00+00:00,530.5,531.5,529.75,531.25,1923
2025-10-29 14:30:00+00:00,531.5,532.5,530.25,530.5,6489
2025-10-29 14:45:00+00:00,528.75,532.25,528.5,531.5,5918
2025-10-29 15:00:00+00:00,530.0,530.25,527.75,528.75,3258
2025-10-29 15:15:00+00:00,531.0,532.0,530.0,530.0,2979
2025-10-29 15:30:00+00:00,529.5,531.25,528.25,531.0,3357
2025-10-29 15:45:00+00:00,529.75,530.0,529.25,529.5,2344
2025-10-29 16:00:00+00:00,531.25,531.25,529.75,529.75,3840
2025-10-29 16:15:00+00:00,530.25,531.5,529.75,531.25,2475
2025-10-29 16:30:00+00:00,529.25,530.75,529.0,530.5,1805
2025-10-29 16:45:00+00:00,529.5,530.25,529.25,529.5,912
2025-10-29 17:00:00+00:00,530.5,530.5,529.0,529.25,1229
2025-10-29 17:15:00+00:00,530.75,531.0,529.5,530.5,1784
2025-10-29 17:30:00+00:00,530.0,531.0,529.75,531.0,1319
2025-10-29 17:45:00+00:00,529.0,530.5,529.0,530.0,1038
2025-10-29 18:00:00+00:00,532.25,532.75,529.0,529.0,9924
2025-10-29 18:15:00+00:00,533.5,533.75,532.25,532.25,2509
2025-10-30 00:00:00+00:00,534.75,535.0,532.75,533.25,855
2025-10-30 00:15:00+00:00,534.5,535.25,534.5,534.75,1128
2025-10-30 00:30:00+00:00,534.5,534.75,534.0,534.5,413
2025-10-30 00:45:00+00:00,534.25,534.75,534.0,534.5,1211
