total_trades,win_rate,wins,losses,net_profit,return_pct,sharpe,max_loss_streak,avg_rr,target_rr,squeeze_threshold,use_squeeze,cooldown_hours,time_blocks
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.3,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.3,False,4,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.5,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.5,False,4,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.8,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,10.810369180874005,3.002880328020549,0.2216355212999896,2,0.08842917474192842,2.5,1.8,False,4,"[0, 9, 14, 15]"
10,70.0,7,3,10.219138245568203,2.838649512657838,0.26667996084977696,2,0.14703610920989596,2.5,1.8,True,0,[]
10,70.0,7,3,10.219138245568203,2.838649512657838,0.26667996084977696,2,0.14703610920989596,2.5,1.8,True,4,[]
10,70.0,7,3,-9.274667211243573,-2.5762964475676617,-0.28324957466181383,2,-0.20296389079013116,2.0,1.8,True,0,[]
10,70.0,7,3,-9.274667211243573,-2.5762964475676617,-0.28324957466181383,2,-0.20296389079013116,2.0,1.8,True,4,[]
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.3,False,0,"[0, 9, 14, 15]"
15,66.66666666666666,10,5,-18.013339177779585,-5.003705327161011,-0.44118222756616976,2,-0.2449041585914051,2.0,1.3,False,4,"[0, 9, 14, 15]"
