date,dir,entry,exit,result,r,pnl,equity,month
2026-01-15 14:20:00+00:00,SELL,4593.955,4603.55,EXIT_SMA,-0.586,-58.61,9941.39,2026-01
2026-01-15 21:05:00+00:00,SELL,4601.78,4610.555,EXIT_SMA,-0.635,-63.1,9878.29,2026-01
2026-01-16 01:05:00+00:00,SELL,4599.085,4602.655,SL,-1.0,-98.78,9779.5,2026-01
2026-01-16 06:10:00+00:00,BUY,4611.58,4606.22,SL,-1.0,-97.8,9681.71,2026-01
2026-01-16 13:45:00+00:00,SELL,4587.585,4601.94,EXIT_SMA,-0.879,-85.11,9596.6,2026-01
2026-01-16 16:10:00+00:00,SELL,4565.21,4593.12,EXIT_SMA,-0.526,-50.5,9546.1,2026-01
2026-01-19 01:00:00+00:00,BUY,4648.915,4669.805,EXIT_SMA,0.379,36.22,9582.33,2026-01
2026-01-20 05:45:00+00:00,BUY,4683.82,4706.545,TP,5.0,479.12,10061.44,2026-01
2026-01-20 09:15:00+00:00,BUY,4714.63,4722.68,EXIT_SMA,0.788,79.29,10140.73,2026-01
2026-01-20 10:25:00+00:00,BUY,4734.2,4727.84,EXIT_SMA,-0.475,-48.18,10092.55,2026-01
2026-01-21 03:20:00+00:00,BUY,4774.13,4829.08,EXIT_SMA,3.448,348.03,10440.58,2026-01
2026-01-21 06:35:00+00:00,BUY,4853.635,4868.35,EXIT_SMA,0.908,94.81,10535.39,2026-01
2026-01-21 14:35:00+00:00,SELL,4852.595,4870.65,EXIT_SMA,-0.638,-67.17,10468.22,2026-01
2026-01-21 15:50:00+00:00,SELL,4817.685,4851.37,EXIT_SMA,-0.688,-72.01,10396.21,2026-01
2026-01-21 17:55:00+00:00,SELL,4807.485,4826.96,SL,-1.0,-103.96,10292.25,2026-01
2026-01-21 20:35:00+00:00,SELL,4816.04,4805.51,EXIT_SMA,0.277,28.47,10320.72,2026-01
2026-01-22 00:40:00+00:00,SELL,4795.065,4793.2,EXIT_SMA,0.09,9.25,10329.97,2026-01
2026-01-22 08:05:00+00:00,BUY,4818.13,4828.85,EXIT_SMA,0.545,56.25,10386.22,2026-01
2026-01-22 13:15:00+00:00,SELL,4819.67,4830.285,SL,-1.0,-103.86,10282.36,2026-01
2026-01-22 14:10:00+00:00,SELL,4813.885,4824.32,EXIT_SMA,-0.707,-72.69,10209.66,2026-01
2026-01-22 19:40:00+00:00,BUY,4842.48,4913.64,EXIT_SMA,3.596,367.11,10576.78,2026-01
2026-01-23 01:00:00+00:00,BUY,4935.945,4946.385,EXIT_SMA,0.664,70.24,10647.02,2026-01
2026-01-23 09:45:00+00:00,SELL,4921.065,4919.315,EXIT_SMA,0.066,7.05,10654.07,2026-01
2026-01-26 03:05:00+00:00,BUY,5015.81,5080.275,EXIT_SMA,1.892,201.59,10855.66,2026-01
2026-01-26 06:55:00+00:00,BUY,5106.93,5077.555,SL,-1.0,-108.56,10747.11,2026-01
2026-01-26 14:20:00+00:00,SELL,5074.5,5077.68,EXIT_SMA,-0.268,-28.82,10718.29,2026-01
2026-01-26 20:10:00+00:00,SELL,5064.445,5049.9,EXIT_SMA,0.681,72.97,10791.26,2026-01
2026-01-26 23:00:00+00:00,SELL,5020.55,5035.685,EXIT_SMA,-0.52,-56.11,10735.15,2026-01
2026-01-27 01:05:00+00:00,SELL,5031.655,5050.415,SL,-1.0,-107.35,10627.8,2026-01
2026-01-27 02:50:00+00:00,BUY,5071.365,5065.935,EXIT_SMA,-0.102,-10.88,10616.92,2026-01
2026-01-27 12:30:00+00:00,SELL,5072.195,5087.99,SL,-1.0,-106.17,10510.76,2026-01
2026-01-27 23:10:00+00:00,BUY,5118.96,5170.78,EXIT_SMA,1.799,189.09,10699.84,2026-01
2026-01-28 04:15:00+00:00,BUY,5197.12,5234.0,EXIT_SMA,1.268,135.72,10835.56,2026-01
2026-01-28 08:40:00+00:00,BUY,5305.145,5290.57,SL,-1.0,-108.36,10727.21,2026-01
2026-01-28 12:15:00+00:00,SELL,5244.255,5261.965,EXIT_SMA,-0.476,-51.04,10676.17,2026-01
2026-01-28 15:20:00+00:00,SELL,5242.775,5269.54,EXIT_SMA,-0.477,-50.96,10625.21,2026-01
2026-01-28 23:15:00+00:00,BUY,5359.325,5495.35,TP,5.0,531.26,11156.47,2026-01
2026-01-29 00:20:00+00:00,BUY,5484.99,5478.89,EXIT_SMA,-0.165,-18.45,11138.02,2026-01
2026-01-29 09:30:00+00:00,SELL,5483.575,5520.82,EXIT_SMA,-0.779,-86.78,11051.24,2026-01
2026-01-29 11:15:00+00:00,SELL,5483.705,5509.62,SL,-1.0,-110.51,10940.73,2026-01
2026-01-29 15:25:00+00:00,SELL,5458.51,5158.26,TP,5.0,547.04,11487.76,2026-01
2026-01-29 16:25:00+00:00,SELL,5163.435,5289.785,EXIT_SMA,-0.615,-70.68,11417.09,2026-01
2026-01-30 00:35:00+00:00,BUY,5438.685,5422.23,EXIT_SMA,-0.235,-26.84,11390.25,2026-01
2026-01-30 03:55:00+00:00,SELL,5309.78,5196.94,EXIT_SMA,1.113,126.82,11517.07,2026-01
2026-01-30 10:15:00+00:00,SELL,5078.84,5059.065,EXIT_SMA,0.214,24.64,11541.71,2026-01
2026-01-30 18:50:00+00:00,SELL,4859.805,4861.735,EXIT_SMA,-0.029,-3.35,11538.36,2026-01
2026-02-02 00:05:00+00:00,SELL,4737.79,4818.865,EXIT_SMA,-0.836,-96.48,11441.88,2026-02
2026-02-02 02:10:00+00:00,SELL,4656.325,4731.26,EXIT_SMA,-0.535,-61.16,11380.72,2026-02
2026-02-02 04:15:00+00:00,SELL,4654.645,4697.785,EXIT_SMA,-0.674,-76.74,11303.99,2026-02
2026-02-02 07:00:00+00:00,SELL,4553.675,4534.15,EXIT_SMA,0.216,24.41,11328.39,2026-02
2026-02-03 00:55:00+00:00,BUY,4758.895,4780.485,EXIT_SMA,0.417,47.24,11375.63,2026-02
2026-02-03 08:55:00+00:00,BUY,4931.37,4912.675,EXIT_SMA,-0.445,-50.62,11325.01,2026-02
2026-02-03 16:50:00+00:00,BUY,4993.375,4963.965,SL,-1.0,-113.25,11211.76,2026-02
2026-02-03 23:40:00+00:00,SELL,4927.07,4948.75,EXIT_SMA,-0.653,-73.23,11138.53,2026-02
2026-02-04 01:00:00+00:00,BUY,5015.855,4986.57,SL,-1.0,-111.39,11027.15,2026-02
2026-02-04 02:35:00+00:00,BUY,5031.655,5043.89,EXIT_SMA,0.26,28.64,11055.79,2026-02
2026-02-04 11:50:00+00:00,SELL,5030.14,5045.375,EXIT_SMA,-0.781,-86.38,10969.41,2026-02
2026-02-04 17:10:00+00:00,SELL,4982.185,4921.265,EXIT_SMA,1.032,113.25,11082.67,2026-02
2026-02-05 00:10:00+00:00,BUY,4995.865,4998.63,EXIT_SMA,0.08,8.82,11091.49,2026-02
